Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
EfficientNet-b0,Cochleagram,1,1,5e-05,0.00020725214562844485,0.0013421770418062806,0.6135321100917431
EfficientNet-b0,Cochleagram,1,2,5e-05,0.00010375701822340488,0.0010922763030976057,0.7213302752293578
EfficientNet-b0,Cochleagram,1,3,5e-05,7.002572965575382e-05,0.001150458469055593,0.7465596330275229
EfficientNet-b0,Cochleagram,1,4,5e-05,5.377657726057805e-05,0.0013299111742526293,0.7339449541284404
EfficientNet-b0,Cochleagram,1,5,5e-05,4.4096450437791646e-05,0.0012934609549120069,0.768348623853211
EfficientNet-b0,Cochleagram,1,6,5e-05,3.7678077205782756e-05,0.001225602813065052,0.7477064220183486
EfficientNet-b0,Cochleagram,1,7,5e-05,3.298839146737009e-05,0.0012177727185189724,0.7603211009174312
EfficientNet-b0,Cochleagram,1,8,5e-05,2.765669887594413e-05,0.001206925488077104,0.7591743119266054
EfficientNet-b0,Cochleagram,1,9,5e-05,2.522156501072459e-05,0.0012366252485662699,0.7396788990825688
EfficientNet-b0,Cochleagram,1,10,5e-05,2.1568615920841694e-05,0.0011725719086825848,0.7740825688073395
EfficientNet-b0,Cochleagram,1,11,5e-05,2.0936084183631465e-05,0.0011471254983916879,0.7901376146788991
EfficientNet-b0,Cochleagram,1,12,5e-05,1.8640837879502214e-05,0.0012140835169702768,0.7786697247706422
EfficientNet-b0,Cochleagram,1,13,5e-05,1.7037211364367977e-05,0.0013617152580991387,0.7419724770642202
EfficientNet-b0,Cochleagram,1,14,5e-05,1.4582594303647056e-05,0.001176617224700749,0.7786697247706422
EfficientNet-b0,Cochleagram,1,15,5e-05,1.434422028978588e-05,0.0010529333958402276,0.7844036697247706
EfficientNet-b0,Cochleagram,1,16,5e-05,1.3805156413582154e-05,0.001240618177689612,0.75
EfficientNet-b0,Cochleagram,1,17,5e-05,1.3662463061336894e-05,0.0012501400196924806,0.7706422018348624
EfficientNet-b0,Cochleagram,1,18,5e-05,1.1941274351556785e-05,0.0011513291392475367,0.7821100917431193
EfficientNet-b0,Cochleagram,1,19,5e-05,1.048116791935172e-05,0.0012268113205209374,0.7603211009174312
EfficientNet-b0,Cochleagram,1,20,5e-05,1.0129437214345671e-05,0.0011721651535481215,0.7786697247706422
EfficientNet-b0,Cochleagram,2,1,5e-05,0.00021070770162623376,0.0014178776182234287,0.5743243243243243
EfficientNet-b0,Cochleagram,2,2,5e-05,0.0001030592538882047,0.0009650758001953363,0.7308558558558559
EfficientNet-b0,Cochleagram,2,3,5e-05,7.026502134976909e-05,0.000798823544755578,0.740990990990991
EfficientNet-b0,Cochleagram,2,4,5e-05,5.343659722711891e-05,0.0007902028155513108,0.7466216216216216
EfficientNet-b0,Cochleagram,2,5,5e-05,4.385238207760267e-05,0.0008453194750472903,0.7545045045045045
EfficientNet-b0,Cochleagram,2,6,5e-05,3.817909600911662e-05,0.0007459160406142473,0.7927927927927928
EfficientNet-b0,Cochleagram,2,7,5e-05,3.197394107701257e-05,0.0007461904315277934,0.7984234234234234
EfficientNet-b0,Cochleagram,2,8,5e-05,2.7710579161066562e-05,0.0008004807750694454,0.7826576576576577
EfficientNet-b0,Cochleagram,2,9,5e-05,2.5100493076024577e-05,0.0008071445627138019,0.7792792792792793
EfficientNet-b0,Cochleagram,2,10,5e-05,2.2927712052478455e-05,0.0009235485340468585,0.8040540540540541
EfficientNet-b0,Cochleagram,2,11,5e-05,2.152347042283509e-05,0.0007798101869411767,0.7984234234234234
EfficientNet-b0,Cochleagram,2,12,5e-05,1.837242416513618e-05,0.0008791928412392735,0.8040540540540541
EfficientNet-b0,Cochleagram,2,13,5e-05,1.7417669369024225e-05,0.0009460625587962568,0.7837837837837838
EfficientNet-b0,Cochleagram,2,14,5e-05,1.5659625205444172e-05,0.0010540203657001257,0.7623873873873874
EfficientNet-b0,Cochleagram,2,15,5e-05,1.5010436982265674e-05,0.0009558190358802676,0.786036036036036
EfficientNet-b0,Cochleagram,2,16,5e-05,1.4113225006440189e-05,0.0009936377173289657,0.7837837837837838
EfficientNet-b0,Cochleagram,2,17,5e-05,1.1721082046278752e-05,0.0008867340511642396,0.7927927927927928
EfficientNet-b0,Cochleagram,2,18,5e-05,1.1302643542876467e-05,0.0008595592807978392,0.7894144144144144
EfficientNet-b0,Cochleagram,2,19,5e-05,1.0024034963862505e-05,0.0009859040146693587,0.7849099099099099
EfficientNet-b0,Cochleagram,2,20,5e-05,1.0291563739883713e-05,0.0010150147136300802,0.7646396396396397
EfficientNet-b0,Cochleagram,3,1,5e-05,0.00020528107415884733,0.0015651758294552565,0.4616216216216216
EfficientNet-b0,Cochleagram,3,2,5e-05,0.00010079406638396904,0.0009038773132488132,0.7156756756756757
EfficientNet-b0,Cochleagram,3,3,5e-05,6.65350744384341e-05,0.0008867537835612893,0.7102702702702702
EfficientNet-b0,Cochleagram,3,4,5e-05,5.4713585996069014e-05,0.0008577478583902121,0.7124324324324325
EfficientNet-b0,Cochleagram,3,5,5e-05,4.23984311055392e-05,0.0008728380198590457,0.7481081081081081
EfficientNet-b0,Cochleagram,3,6,5e-05,3.6190307582728565e-05,0.0008984360611066222,0.7556756756756757
EfficientNet-b0,Cochleagram,3,7,5e-05,3.235675467294641e-05,0.0008387703564949334,0.7621621621621621
EfficientNet-b0,Cochleagram,3,8,5e-05,2.8246598958503455e-05,0.0008847847930155694,0.7470270270270271
EfficientNet-b0,Cochleagram,3,9,5e-05,2.3983400751603767e-05,0.0008638199069537222,0.7405405405405405
EfficientNet-b0,Cochleagram,3,10,5e-05,2.1054773242212832e-05,0.0009394645458087325,0.7297297297297297
EfficientNet-b0,Cochleagram,3,11,5e-05,2.047581619990524e-05,0.0008634438854642212,0.7632432432432432
EfficientNet-b0,Cochleagram,3,12,5e-05,1.7800226487452164e-05,0.0009054818074218929,0.7610810810810811
EfficientNet-b0,Cochleagram,3,13,5e-05,1.5758269000798464e-05,0.0009571668924763799,0.7383783783783784
EfficientNet-b0,Cochleagram,3,14,5e-05,1.5172410712693818e-05,0.0009696647757664323,0.7340540540540541
EfficientNet-b0,Cochleagram,3,15,5e-05,1.5510560842812993e-05,0.0010054452577605844,0.7621621621621621
EfficientNet-b0,Cochleagram,3,16,5e-05,1.2687583875958808e-05,0.0010146888671442866,0.7372972972972973
EfficientNet-b0,Cochleagram,3,17,5e-05,1.2038479326292872e-05,0.0010146060958504677,0.7318918918918919
EfficientNet-b0,Cochleagram,3,18,5e-05,1.3173084880691022e-05,0.0008481884724460542,0.7632432432432432
EfficientNet-b0,Cochleagram,3,19,5e-05,1.196895209432114e-05,0.0009470313671045005,0.7372972972972973
EfficientNet-b0,Cochleagram,3,20,5e-05,1.0262601790600456e-05,0.0010625318391248584,0.7513513513513513
EfficientNet-b0,Cochleagram,4,1,5e-05,0.00021000140986870974,0.0012946026399731636,0.5969696969696969
EfficientNet-b0,Cochleagram,4,2,5e-05,0.00010565850243438035,0.000613077194429934,0.794949494949495
EfficientNet-b0,Cochleagram,4,3,5e-05,6.975146970944479e-05,0.0005374914035201073,0.8101010101010101
EfficientNet-b0,Cochleagram,4,4,5e-05,5.5485365010099486e-05,0.0005338176852092147,0.8363636363636363
EfficientNet-b0,Cochleagram,4,5,5e-05,4.42915188614279e-05,0.0005369051941670477,0.8282828282828283
EfficientNet-b0,Cochleagram,4,6,5e-05,3.71514142898377e-05,0.0005364007665775716,0.8333333333333334
EfficientNet-b0,Cochleagram,4,7,5e-05,3.3045205782400444e-05,0.0005624606274068356,0.8454545454545455
EfficientNet-b0,Cochleagram,4,8,5e-05,2.8900634788442403e-05,0.0004971081507392228,0.8484848484848485
EfficientNet-b0,Cochleagram,4,9,5e-05,2.472517007845454e-05,0.0005910501349717379,0.8303030303030303
EfficientNet-b0,Cochleagram,4,10,5e-05,2.2350968720274977e-05,0.00045219395542517304,0.8616161616161616
EfficientNet-b0,Cochleagram,4,11,5e-05,2.054780998150818e-05,0.0005613925750367343,0.8494949494949495
EfficientNet-b0,Cochleagram,4,12,5e-05,1.7667363863438368e-05,0.0005909695173613727,0.8393939393939394
EfficientNet-b0,Cochleagram,4,13,5e-05,1.687459553068038e-05,0.0005276804440654814,0.8585858585858586
EfficientNet-b0,Cochleagram,4,14,5e-05,1.6207102817134e-05,0.0006324953283183277,0.8444444444444444
EfficientNet-b0,Cochleagram,4,15,5e-05,1.442713437427301e-05,0.0005915294168516994,0.8424242424242424
EfficientNet-b0,Cochleagram,4,16,5e-05,1.2874298590759281e-05,0.0006180077325552702,0.8454545454545455
EfficientNet-b0,Cochleagram,4,17,5e-05,1.1913028174603824e-05,0.0006093965494073927,0.8595959595959596
EfficientNet-b0,Cochleagram,4,18,5e-05,1.276683178730309e-05,0.000686145736835897,0.8343434343434344
EfficientNet-b0,Cochleagram,4,19,5e-05,1.1671357242448721e-05,0.0006581238121725619,0.8535353535353535
EfficientNet-b0,Cochleagram,4,20,5e-05,1.290391264774371e-05,0.0009649256244301796,0.8474747474747475
EfficientNet-b0,Cochleagram,5,1,5e-05,0.00021399185061454773,0.0013846448855474591,0.6331550802139038
EfficientNet-b0,Cochleagram,5,2,5e-05,0.00011090849875472486,0.0006540932809002697,0.8010695187165775
EfficientNet-b0,Cochleagram,5,3,5e-05,7.371631363639608e-05,0.0005387310520745814,0.8171122994652407
EfficientNet-b0,Cochleagram,5,4,5e-05,5.476115256897174e-05,0.00046710355672985315,0.8545454545454545
EfficientNet-b0,Cochleagram,5,5,5e-05,4.643222928280011e-05,0.0003975494473706931,0.8759358288770054
EfficientNet-b0,Cochleagram,5,6,5e-05,3.946134165744297e-05,0.00043339759577065706,0.8663101604278075
EfficientNet-b0,Cochleagram,5,7,5e-05,3.398467742954381e-05,0.00043508075759746134,0.8673796791443851
EfficientNet-b0,Cochleagram,5,8,5e-05,2.9836272005923092e-05,0.00040997585165314376,0.8727272727272727
EfficientNet-b0,Cochleagram,5,9,5e-05,2.5958719561458565e-05,0.00041287217754870653,0.8631016042780749
EfficientNet-b0,Cochleagram,5,10,5e-05,2.3608547053299844e-05,0.0003980998008046299,0.8716577540106952
EfficientNet-b0,Cochleagram,5,11,5e-05,2.1100908270454966e-05,0.0004750174703076482,0.8491978609625669
EfficientNet-b0,Cochleagram,5,12,5e-05,1.8131177057512105e-05,0.00046385664609260857,0.8716577540106952
EfficientNet-b0,Cochleagram,5,13,5e-05,1.826540938054677e-05,0.0004167641745880246,0.8705882352941177
EfficientNet-b0,Cochleagram,5,14,5e-05,1.5356004951172508e-05,0.0005719984183087945,0.839572192513369
EfficientNet-b0,Cochleagram,5,15,5e-05,1.4842803466308396e-05,0.000472900690510869,0.8598930481283422
EfficientNet-b0,Cochleagram,5,16,5e-05,1.2693358257820364e-05,0.00046692718751728535,0.8641711229946524
EfficientNet-b0,Cochleagram,5,17,5e-05,1.4018866750120651e-05,0.00048264540964737535,0.8524064171122995
EfficientNet-b0,Cochleagram,5,18,5e-05,1.16023493319517e-05,0.000479939510114491,0.8502673796791443
EfficientNet-b0,Cochleagram,5,19,5e-05,1.1377643204468768e-05,0.0004784640623256564,0.8577540106951872
EfficientNet-b0,Cochleagram,5,20,5e-05,1.0771093002404086e-05,0.00045560483704321086,0.8620320855614974
EfficientNet-b0,Cochleagram,6,1,5e-05,0.00020018299983348697,0.0016030045226216316,0.5771567436208992
EfficientNet-b0,Cochleagram,6,2,5e-05,9.892872913042083e-05,0.0012179185869172215,0.6913730255164034
EfficientNet-b0,Cochleagram,6,3,5e-05,6.624681554967538e-05,0.0009839473059400916,0.74726609963548
EfficientNet-b0,Cochleagram,6,4,5e-05,5.132833757670596e-05,0.0010789168300107121,0.7424058323207776
EfficientNet-b0,Cochleagram,6,5,5e-05,4.25477082899306e-05,0.0010508542181923985,0.7545565006075334
EfficientNet-b0,Cochleagram,6,6,5e-05,3.60309386451263e-05,0.0011447870638221502,0.7363304981773997
EfficientNet-b0,Cochleagram,6,7,5e-05,2.9700720915570855e-05,0.0010645552538335323,0.772782503037667
EfficientNet-b0,Cochleagram,6,8,5e-05,2.727812170633115e-05,0.001242287689819932,0.7399756986634265
EfficientNet-b0,Cochleagram,6,9,5e-05,2.374366158619523e-05,0.0011642820900306106,0.7521263669501823
EfficientNet-b0,Cochleagram,6,10,5e-05,2.2362552044796757e-05,0.001173591474071145,0.7667071688942891
EfficientNet-b0,Cochleagram,6,11,5e-05,1.8563567209639587e-05,0.001215013675391674,0.7618469015795869
EfficientNet-b0,Cochleagram,6,12,5e-05,1.8078435459756292e-05,0.0011992036597803235,0.7606318347509113
EfficientNet-b0,Cochleagram,6,13,5e-05,1.6712641809135675e-05,0.0012855997774749994,0.7667071688942891
EfficientNet-b0,Cochleagram,6,14,5e-05,1.56783116835868e-05,0.001343633746728301,0.764277035236938
EfficientNet-b0,Cochleagram,6,15,5e-05,1.3822207620250992e-05,0.001381579670123756,0.7667071688942891
EfficientNet-b0,Cochleagram,6,16,5e-05,1.2813826288038399e-05,0.001395133906044066,0.7654921020656136
EfficientNet-b0,Cochleagram,6,17,5e-05,1.1699491551553365e-05,0.0014099396066740155,0.7630619684082625
EfficientNet-b0,Cochleagram,6,18,5e-05,1.1822440683317836e-05,0.0014074250357225537,0.7545565006075334
EfficientNet-b0,Cochleagram,6,19,5e-05,1.1570808055694215e-05,0.0013846352230757475,0.7630619684082625
EfficientNet-b0,Cochleagram,6,20,5e-05,1.0673747965483926e-05,0.0013285448076203465,0.7630619684082625
EfficientNet-b0,Cochleagram,7,1,5e-05,0.00020188554481137544,0.0015914177056401968,0.5298329355608592
EfficientNet-b0,Cochleagram,7,2,5e-05,0.00010013805876951665,0.000931002723518759,0.733890214797136
EfficientNet-b0,Cochleagram,7,3,5e-05,6.784415745642036e-05,0.0007730561774224043,0.7768496420047732
EfficientNet-b0,Cochleagram,7,4,5e-05,5.1616043492686003e-05,0.0008373845485039055,0.7983293556085919
EfficientNet-b0,Cochleagram,7,5,5e-05,4.2380266677355394e-05,0.0005735972663387656,0.8293556085918854
EfficientNet-b0,Cochleagram,7,6,5e-05,3.6315548641141504e-05,0.0006678536883555353,0.8174224343675418
EfficientNet-b0,Cochleagram,7,7,5e-05,3.1675681384513155e-05,0.0006335210637189448,0.8198090692124105
EfficientNet-b0,Cochleagram,7,8,5e-05,2.6973935746354982e-05,0.0006142545025795698,0.837708830548926
EfficientNet-b0,Cochleagram,7,9,5e-05,2.4966540877358057e-05,0.0006419169949367642,0.8353221957040573
EfficientNet-b0,Cochleagram,7,10,5e-05,2.0447470888029784e-05,0.0005998943815939128,0.8293556085918854
EfficientNet-b0,Cochleagram,7,11,5e-05,1.9071119822910987e-05,0.0006248963181860745,0.834128878281623
EfficientNet-b0,Cochleagram,7,12,5e-05,1.8138862287742086e-05,0.0006786504527553916,0.8329355608591885
EfficientNet-b0,Cochleagram,7,13,5e-05,1.6641135516692884e-05,0.0006938534206710756,0.847255369928401
EfficientNet-b0,Cochleagram,7,14,5e-05,1.576118120283354e-05,0.0007106150733307004,0.8353221957040573
EfficientNet-b0,Cochleagram,7,15,5e-05,1.4662415196653455e-05,0.0008171083172783256,0.8198090692124105
EfficientNet-b0,Cochleagram,7,16,5e-05,1.2333331142144743e-05,0.0007315768161788583,0.8400954653937948
EfficientNet-b0,Cochleagram,7,17,5e-05,1.274291571462527e-05,0.0008779194904491305,0.8126491646778043
EfficientNet-b0,Cochleagram,7,18,5e-05,1.1434058251325041e-05,0.000802978000137955,0.8281622911694511
EfficientNet-b0,Cochleagram,7,19,5e-05,9.280410267820116e-06,0.0008146548643708229,0.8257756563245824
EfficientNet-b0,Cochleagram,7,20,5e-05,1.0733320777944755e-05,0.0008511398336850107,0.8233890214797136
EfficientNet-b0,Cochleagram,8,1,5e-05,0.0002050622133538127,0.001574925146996975,0.6120150187734669
EfficientNet-b0,Cochleagram,8,2,5e-05,9.880192374112085e-05,0.001450488343834877,0.6958698372966208
EfficientNet-b0,Cochleagram,8,3,5e-05,6.652400043094531e-05,0.001537903561256826,0.7071339173967459
EfficientNet-b0,Cochleagram,8,4,5e-05,5.2469167712843046e-05,0.0015692112501710653,0.7146433041301627
EfficientNet-b0,Cochleagram,8,5,5e-05,4.098744102520868e-05,0.0015190289122983813,0.7221526908635795
EfficientNet-b0,Cochleagram,8,6,5e-05,3.517180812195875e-05,0.0016097264597192407,0.6971214017521903
EfficientNet-b0,Cochleagram,8,7,5e-05,3.194412056473084e-05,0.0015768844168633223,0.7221526908635795
EfficientNet-b0,Cochleagram,8,8,5e-05,2.7648440664052032e-05,0.0015115229180082679,0.7121401752190237
EfficientNet-b0,Cochleagram,8,9,5e-05,2.43368158407975e-05,0.001591371838003397,0.7133917396745932
EfficientNet-b0,Cochleagram,8,10,5e-05,2.1494688553502783e-05,0.001460274332202971,0.7421777221526908
EfficientNet-b0,Cochleagram,8,11,5e-05,1.8842139979824424e-05,0.0016128569841384888,0.7121401752190237
EfficientNet-b0,Cochleagram,8,12,5e-05,1.7472913896199316e-05,0.0016914717853069305,0.7259073842302879
EfficientNet-b0,Cochleagram,8,13,5e-05,1.720797263260465e-05,0.0018091598758473992,0.7196495619524406
EfficientNet-b0,Cochleagram,8,14,5e-05,1.5808887837920338e-05,0.0018195738084614277,0.7033792240300375
EfficientNet-b0,Cochleagram,8,15,5e-05,1.5341738617280498e-05,0.0018212080467492342,0.7121401752190237
EfficientNet-b0,Cochleagram,8,16,5e-05,1.3006199878873304e-05,0.0021233896259218454,0.7108886107634543
EfficientNet-b0,Cochleagram,8,17,5e-05,1.2459582649171352e-05,0.0022056950256228447,0.7033792240300375
EfficientNet-b0,Cochleagram,8,18,5e-05,1.1268661182839423e-05,0.0017670992529019713,0.7446808510638298
EfficientNet-b0,Cochleagram,8,19,5e-05,1.0333846148569137e-05,0.001819086610339582,0.704630788485607
EfficientNet-b0,Cochleagram,8,20,5e-05,1.0984316759277135e-05,0.0017516040243208408,0.7246558197747184
EfficientNet-b0,Cochleagram,9,1,5e-05,0.00020922439580317587,0.001308014034293592,0.6936274509803921
EfficientNet-b0,Cochleagram,9,2,5e-05,0.00010117645433638245,0.0007636501104570925,0.803921568627451
EfficientNet-b0,Cochleagram,9,3,5e-05,6.672171002719551e-05,0.000626399356406182,0.8455882352941176
EfficientNet-b0,Cochleagram,9,4,5e-05,5.360787326935679e-05,0.0006229410064406693,0.8419117647058824
EfficientNet-b0,Cochleagram,9,5,5e-05,4.303678360884078e-05,0.0006663425592705607,0.8602941176470589
EfficientNet-b0,Cochleagram,9,6,5e-05,3.795604425249621e-05,0.0006949276430532336,0.8651960784313726
EfficientNet-b0,Cochleagram,9,7,5e-05,3.166044916724786e-05,0.0007184089045040309,0.8541666666666666
EfficientNet-b0,Cochleagram,9,8,5e-05,2.7437505195848644e-05,0.0006655929028056562,0.8676470588235294
EfficientNet-b0,Cochleagram,9,9,5e-05,2.5683510102680884e-05,0.000666438543703407,0.8762254901960784
EfficientNet-b0,Cochleagram,9,10,5e-05,2.2444346541306004e-05,0.0007449729018844664,0.8541666666666666
EfficientNet-b0,Cochleagram,9,11,5e-05,2.0917201254633255e-05,0.000735423294827342,0.8700980392156863
EfficientNet-b0,Cochleagram,9,12,5e-05,1.8304974219063297e-05,0.0007519668433815241,0.8688725490196079
EfficientNet-b0,Cochleagram,9,13,5e-05,1.7051988834282383e-05,0.0008543146541342139,0.8676470588235294
EfficientNet-b0,Cochleagram,9,14,5e-05,1.5607651221216656e-05,0.000893433578312397,0.8492647058823529
EfficientNet-b0,Cochleagram,9,15,5e-05,1.4267257938627154e-05,0.0009068367071449757,0.8419117647058824
