Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
EfficientNet-b0,LinGC,1,1,5e-05,0.00020840697106905282,0.0012362306006252766,0.6284403669724771
EfficientNet-b0,LinGC,1,2,5e-05,9.965142817236483e-05,0.0009311236208304763,0.7282110091743119
EfficientNet-b0,LinGC,1,3,5e-05,6.526504148496315e-05,0.000927781336940825,0.7626146788990825
EfficientNet-b0,LinGC,1,4,5e-05,5.0519327487563714e-05,0.0008761599310673773,0.786697247706422
EfficientNet-b0,LinGC,1,5,5e-05,4.152095061726868e-05,0.0009426340693607926,0.7889908256880734
EfficientNet-b0,LinGC,1,6,5e-05,3.457706043263897e-05,0.0008907897281460464,0.7981651376146789
EfficientNet-b0,LinGC,1,7,5e-05,2.9532002372434363e-05,0.0009026285842992365,0.8004587155963303
EfficientNet-b0,LinGC,1,8,5e-05,2.7212689019506797e-05,0.0009912558598443866,0.7752293577981652
EfficientNet-b0,LinGC,1,9,5e-05,2.3783948563504964e-05,0.0010210858890786767,0.7809633027522935
EfficientNet-b0,LinGC,1,10,5e-05,2.042925734713208e-05,0.001142382388934493,0.7775229357798165
EfficientNet-b0,LinGC,1,11,5e-05,1.7455355191486888e-05,0.0010180359240621328,0.7855504587155964
EfficientNet-b0,LinGC,1,12,5e-05,1.720475120237097e-05,0.001125429174862802,0.7752293577981652
EfficientNet-b0,LinGC,1,13,5e-05,1.576893191668205e-05,0.0012201947392895818,0.768348623853211
EfficientNet-b0,LinGC,1,14,5e-05,1.5004385204520077e-05,0.0011413112515583634,0.7821100917431193
EfficientNet-b0,LinGC,1,15,5e-05,1.2742445505864453e-05,0.001167117734439671,0.7717889908256881
EfficientNet-b0,LinGC,1,16,5e-05,1.2465236068237573e-05,0.001194896176457405,0.7763761467889908
EfficientNet-b0,LinGC,1,17,5e-05,1.2266612429812085e-05,0.0012685670517385006,0.7752293577981652
EfficientNet-b0,LinGC,1,18,5e-05,1.2290591257624328e-05,0.0013077243929728866,0.783256880733945
EfficientNet-b0,LinGC,1,19,5e-05,8.67405833560042e-06,0.0013628387823700905,0.7763761467889908
EfficientNet-b0,LinGC,1,20,5e-05,9.502733519184403e-06,0.0012605596566572785,0.7855504587155964
EfficientNet-b0,LinGC,2,1,5e-05,0.00020834512542933226,0.001225144718773663,0.6058558558558559
EfficientNet-b0,LinGC,2,2,5e-05,9.809110633796081e-05,0.000877566053532064,0.7454954954954955
EfficientNet-b0,LinGC,2,3,5e-05,6.596212915610522e-05,0.0007183053530752659,0.7815315315315315
EfficientNet-b0,LinGC,2,4,5e-05,5.119920024299063e-05,0.0007409505196847022,0.795045045045045
EfficientNet-b0,LinGC,2,5,5e-05,4.124685801798478e-05,0.0006701116217300296,0.8108108108108109
EfficientNet-b0,LinGC,2,6,5e-05,3.387656033737585e-05,0.0007166099967435002,0.8074324324324325
EfficientNet-b0,LinGC,2,7,5e-05,2.8490618205978535e-05,0.0005844185943715274,0.8502252252252253
EfficientNet-b0,LinGC,2,8,5e-05,2.528904951759614e-05,0.0007695097592659295,0.8096846846846847
EfficientNet-b0,LinGC,2,9,5e-05,2.1882075088797137e-05,0.0006476219859905541,0.8423423423423423
EfficientNet-b0,LinGC,2,10,5e-05,2.1748979634139687e-05,0.0007490641437470913,0.8119369369369369
EfficientNet-b0,LinGC,2,11,5e-05,1.7746628145687282e-05,0.0007367552607320249,0.8322072072072072
EfficientNet-b0,LinGC,2,12,5e-05,1.5653593436582014e-05,0.0007372910040430725,0.8141891891891891
EfficientNet-b0,LinGC,2,13,5e-05,1.6136744307004847e-05,0.0007277247495949268,0.8164414414414415
EfficientNet-b0,LinGC,2,14,5e-05,1.3728562407777645e-05,0.0008255050051957369,0.8130630630630631
EfficientNet-b0,LinGC,2,15,5e-05,1.405328748660395e-05,0.0007464655791409314,0.8344594594594594
EfficientNet-b0,LinGC,2,16,5e-05,1.2394046279950999e-05,0.0008474066271446645,0.8119369369369369
EfficientNet-b0,LinGC,2,17,5e-05,1.171237545349868e-05,0.0009301870013587177,0.8063063063063063
EfficientNet-b0,LinGC,2,18,5e-05,1.1434352018113714e-05,0.0009632180444896221,0.795045045045045
EfficientNet-b0,LinGC,2,19,5e-05,9.774758837011177e-06,0.0007884664228186011,0.8378378378378378
EfficientNet-b0,LinGC,2,20,5e-05,1.0772677342174575e-05,0.0009416087414138019,0.7995495495495496
EfficientNet-b0,LinGC,3,1,5e-05,0.00020571338245645165,0.0014326556120067835,0.5178378378378379
EfficientNet-b0,LinGC,3,2,5e-05,9.806625166675076e-05,0.000904722954146564,0.7340540540540541
EfficientNet-b0,LinGC,3,3,5e-05,6.599944754270837e-05,0.0008200638694688678,0.745945945945946
EfficientNet-b0,LinGC,3,4,5e-05,4.8813646571943536e-05,0.0008790243300609291,0.7308108108108108
EfficientNet-b0,LinGC,3,5,5e-05,4.0321432607015595e-05,0.0008463085978291929,0.7405405405405405
EfficientNet-b0,LinGC,3,6,5e-05,3.475939593045041e-05,0.0008291584090329707,0.7535135135135135
EfficientNet-b0,LinGC,3,7,5e-05,2.824078910634853e-05,0.0008273567073047161,0.7524324324324324
EfficientNet-b0,LinGC,3,8,5e-05,2.510234662622679e-05,0.0009090371895581484,0.7297297297297297
EfficientNet-b0,LinGC,3,9,5e-05,2.2880778487888165e-05,0.000980237266048789,0.7545945945945945
EfficientNet-b0,LinGC,3,10,5e-05,2.094931733154226e-05,0.0008933727513067424,0.7578378378378379
EfficientNet-b0,LinGC,3,11,5e-05,1.884173252619803e-05,0.0009740793029777706,0.7383783783783784
EfficientNet-b0,LinGC,3,12,5e-05,1.76027951965807e-05,0.0009775216458365321,0.7394594594594595
EfficientNet-b0,LinGC,3,13,5e-05,1.6017987945815548e-05,0.0010419891914352775,0.72
EfficientNet-b0,LinGC,3,14,5e-05,1.4705022294947412e-05,0.0009121690527535975,0.7470270270270271
EfficientNet-b0,LinGC,3,15,5e-05,1.2810599400836509e-05,0.001022735727019608,0.7383783783783784
EfficientNet-b0,LinGC,3,16,5e-05,1.3422722986433655e-05,0.0011145322350785136,0.7427027027027027
EfficientNet-b0,LinGC,3,17,5e-05,1.2574354514072184e-05,0.0010559310903772712,0.7351351351351352
EfficientNet-b0,LinGC,3,18,5e-05,1.1817024642368779e-05,0.0011167583288624883,0.7362162162162162
EfficientNet-b0,LinGC,3,19,5e-05,1.0706577995733824e-05,0.0008913964848034084,0.7578378378378379
EfficientNet-b0,LinGC,3,20,5e-05,1.0014956387749407e-05,0.000989817432127893,0.7394594594594595
EfficientNet-b0,LinGC,4,1,5e-05,0.00020993725047446787,0.0011060022516176105,0.6656565656565656
EfficientNet-b0,LinGC,4,2,5e-05,0.00010172768088523299,0.0006810550112277269,0.7878787878787878
EfficientNet-b0,LinGC,4,3,5e-05,6.655484321527183e-05,0.000512912287376821,0.8373737373737373
EfficientNet-b0,LinGC,4,4,5e-05,5.122758375364356e-05,0.0005244336207397282,0.8202020202020202
EfficientNet-b0,LinGC,4,5,5e-05,4.0842984162736684e-05,0.0005104801966808736,0.8272727272727273
EfficientNet-b0,LinGC,4,6,5e-05,3.533977724146098e-05,0.00047994349733926356,0.8454545454545455
EfficientNet-b0,LinGC,4,7,5e-05,2.995325303345453e-05,0.0004976220079697669,0.8303030303030303
EfficientNet-b0,LinGC,4,8,5e-05,2.677460179256741e-05,0.0005353626911528409,0.8242424242424242
EfficientNet-b0,LinGC,4,9,5e-05,2.3362721549347043e-05,0.0005540437996387482,0.8171717171717172
EfficientNet-b0,LinGC,4,10,5e-05,2.1105657651787624e-05,0.0005195153062231839,0.8323232323232324
EfficientNet-b0,LinGC,4,11,5e-05,1.7890031813294627e-05,0.0005570651846937835,0.8272727272727273
EfficientNet-b0,LinGC,4,12,5e-05,1.783093102858402e-05,0.0006123853381723166,0.8090909090909091
EfficientNet-b0,LinGC,4,13,5e-05,1.6593083273619413e-05,0.0005745816743001342,0.8373737373737373
EfficientNet-b0,LinGC,4,14,5e-05,1.486933706473792e-05,0.0006152379792183638,0.8191919191919191
EfficientNet-b0,LinGC,4,15,5e-05,1.2312184480833821e-05,0.0005583924939855933,0.8363636363636363
EfficientNet-b0,LinGC,4,16,5e-05,1.294711728405673e-05,0.0005476950900629163,0.8393939393939394
EfficientNet-b0,LinGC,4,17,5e-05,1.158864688477479e-05,0.0005744139198213816,0.8363636363636363
EfficientNet-b0,LinGC,4,18,5e-05,1.099694418371655e-05,0.0005632410757243633,0.8494949494949495
EfficientNet-b0,LinGC,4,19,5e-05,9.52462596615078e-06,0.000607995199970901,0.8323232323232324
EfficientNet-b0,LinGC,4,20,5e-05,1.0048345757240895e-05,0.0006054536788724363,0.8262626262626263
EfficientNet-b0,LinGC,5,1,5e-05,0.00020773950382135808,0.0013302655424922705,0.6342245989304813
EfficientNet-b0,LinGC,5,2,5e-05,0.00010194984497502446,0.0006727859145030379,0.7828877005347593
EfficientNet-b0,LinGC,5,3,5e-05,6.932704854989424e-05,0.0005242828046903014,0.8288770053475936
EfficientNet-b0,LinGC,5,4,5e-05,5.264118954073638e-05,0.0005471230833791196,0.8235294117647058
EfficientNet-b0,LinGC,5,5,5e-05,4.3137846660101786e-05,0.000444856530521065,0.8631016042780749
EfficientNet-b0,LinGC,5,6,5e-05,3.5367691452847794e-05,0.00038499472429975867,0.8770053475935828
EfficientNet-b0,LinGC,5,7,5e-05,3.123318310827017e-05,0.000356137752532959,0.8834224598930481
EfficientNet-b0,LinGC,5,8,5e-05,2.5908409952535294e-05,0.00040127357351593673,0.8705882352941177
EfficientNet-b0,LinGC,5,9,5e-05,2.322973705304321e-05,0.0003448141796980053,0.893048128342246
EfficientNet-b0,LinGC,5,10,5e-05,2.2386311684385873e-05,0.0003402276779524982,0.906951871657754
EfficientNet-b0,LinGC,5,11,5e-05,2.044255961664021e-05,0.0003443403693381697,0.8866310160427807
EfficientNet-b0,LinGC,5,12,5e-05,1.7712864064378664e-05,0.0003989081596955657,0.8780748663101604
EfficientNet-b0,LinGC,5,13,5e-05,1.612157211638987e-05,0.00034240924287587404,0.893048128342246
EfficientNet-b0,LinGC,5,14,5e-05,1.4847062629996799e-05,0.0003635791363194585,0.9026737967914439
EfficientNet-b0,LinGC,5,15,5e-05,1.4117141290626023e-05,0.00036169096711091697,0.8994652406417112
EfficientNet-b0,LinGC,5,16,5e-05,1.3279728591442108e-05,0.00035245309118181467,0.8962566844919786
EfficientNet-b0,LinGC,5,17,5e-05,1.248369699169416e-05,0.0003329935425426811,0.9101604278074866
EfficientNet-b0,LinGC,5,18,5e-05,1.1718207133526448e-05,0.0003394798841327429,0.895187165775401
EfficientNet-b0,LinGC,5,19,5e-05,1.132141005655285e-05,0.0003796395903918892,0.8844919786096257
EfficientNet-b0,LinGC,5,20,5e-05,9.49801778915571e-06,0.0003982461930718273,0.8877005347593583
EfficientNet-b0,LinGC,6,1,5e-05,0.00019892661657650024,0.00155946658924222,0.583232077764277
EfficientNet-b0,LinGC,6,2,5e-05,9.778093954082578e-05,0.00101111875846982,0.7424058323207776
EfficientNet-b0,LinGC,6,3,5e-05,6.534634303534403e-05,0.0009245929541066289,0.7752126366950183
EfficientNet-b0,LinGC,6,4,5e-05,5.071674968348816e-05,0.0009757334482856095,0.795868772782503
EfficientNet-b0,LinGC,6,5,5e-05,4.0553637518314645e-05,0.0009540777537040412,0.7776427703523694
EfficientNet-b0,LinGC,6,6,5e-05,3.488841684884392e-05,0.0009212457225658,0.7861482381530984
EfficientNet-b0,LinGC,6,7,5e-05,2.9035358238616027e-05,0.0010214229114353657,0.7691373025516404
EfficientNet-b0,LinGC,6,8,5e-05,2.6452147722011432e-05,0.000975338276475668,0.8019441069258809
EfficientNet-b0,LinGC,6,9,5e-05,2.3073893316905014e-05,0.0010896687163040042,0.8019441069258809
EfficientNet-b0,LinGC,6,10,5e-05,2.1006051611038856e-05,0.0009884501341730356,0.7970838396111786
EfficientNet-b0,LinGC,6,11,5e-05,1.9656672520795837e-05,0.0011429034639149904,0.7825030376670717
EfficientNet-b0,LinGC,6,12,5e-05,1.728761890262831e-05,0.0009223653469234705,0.8080194410692588
EfficientNet-b0,LinGC,6,13,5e-05,1.5804709619260393e-05,0.001011757063679397,0.8128797083839611
EfficientNet-b0,LinGC,6,14,5e-05,1.4602297596866265e-05,0.0009596206364221871,0.8019441069258809
EfficientNet-b0,LinGC,6,15,5e-05,1.4368958545674104e-05,0.0011036089854314923,0.8031591737545565
EfficientNet-b0,LinGC,6,16,5e-05,1.3059587217867374e-05,0.001167182344943285,0.8055893074119077
EfficientNet-b0,LinGC,6,17,5e-05,1.1949789040954784e-05,0.001099024317227304,0.8055893074119077
EfficientNet-b0,LinGC,6,18,5e-05,1.1544866538315546e-05,0.00122719700448215,0.7922235722964763
EfficientNet-b0,LinGC,6,19,5e-05,1.0734313036664389e-05,0.001227454631589353,0.8080194410692588
EfficientNet-b0,LinGC,6,20,5e-05,1.0127151654160116e-05,0.0010896662715822458,0.8165249088699879
EfficientNet-b0,LinGC,7,1,5e-05,0.0002049963950412348,0.001506427419371903,0.5847255369928401
EfficientNet-b0,LinGC,7,2,5e-05,9.821877029025927e-05,0.0009402990690432489,0.7374701670644391
EfficientNet-b0,LinGC,7,3,5e-05,6.393839430529624e-05,0.000784690142609179,0.7863961813842482
EfficientNet-b0,LinGC,7,4,5e-05,4.942844316246919e-05,0.0007555686170235276,0.8007159904534606
EfficientNet-b0,LinGC,7,5,5e-05,3.952821498387493e-05,0.0009563135099597275,0.8007159904534606
EfficientNet-b0,LinGC,7,6,5e-05,3.3369877201039344e-05,0.0008816618355922401,0.7828162291169452
EfficientNet-b0,LinGC,7,7,5e-05,2.954630872409325e-05,0.0006835780804976821,0.8353221957040573
EfficientNet-b0,LinGC,7,8,5e-05,2.5161562007269822e-05,0.0007822897750884295,0.8162291169451074
EfficientNet-b0,LinGC,7,9,5e-05,2.2780273866374046e-05,0.000750587263610214,0.8186157517899761
EfficientNet-b0,LinGC,7,10,5e-05,2.0190125724184327e-05,0.0008060014806687832,0.8245823389021479
EfficientNet-b0,LinGC,7,11,5e-05,1.815136056393385e-05,0.0008321640780195594,0.8054892601431981
EfficientNet-b0,LinGC,7,12,5e-05,1.56513287947746e-05,0.0009108026861213148,0.815035799522673
EfficientNet-b0,LinGC,7,13,5e-05,1.5483721654163674e-05,0.0007835514261387289,0.8245823389021479
EfficientNet-b0,LinGC,7,14,5e-05,1.3668096471519675e-05,0.0008169484790414572,0.8174224343675418
EfficientNet-b0,LinGC,7,15,5e-05,1.3034261428401805e-05,0.000744804332498461,0.8448687350835322
