Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
EfficientNet-b0,LogGC,1,precision,0.4594594594594595,0.48148148148148145,0.7350427350427351,0.7473684210526316,0.6116504854368932,0.5833333333333334,0.6585365853658537,0.7974683544303798,0.75,0.8160919540229885,0.6640432809625756,0.6797501760319085
EfficientNet-b0,LogGC,1,recall,0.51,0.3611111111111111,0.86,0.71,0.63,0.7291666666666666,0.7714285714285715,0.5294117647058824,0.8023255813953488,0.71,0.6613443695307579,0.6697247706422018
EfficientNet-b0,LogGC,1,f1-score,0.48341232227488157,0.4126984126984127,0.7926267281105991,0.7282051282051281,0.6206896551724137,0.6481481481481481,0.7105263157894737,0.6363636363636362,0.7752808988764044,0.7593582887700535,0.6567309534409151,0.6683238857981052
EfficientNet-b0,LogGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
EfficientNet-b0,LogGC,2,precision,0.2857142857142857,0.5416666666666666,0.8085106382978723,0.8651685393258427,0.8,0.48,0.4647887323943662,0.6463414634146342,0.8354430379746836,0.7543859649122807,0.6482019328700632,0.6666462168066253
EfficientNet-b0,LogGC,2,recall,0.3,0.30952380952380953,0.76,0.77,0.64,0.72,0.9428571428571428,0.44166666666666665,0.7252747252747253,0.86,0.6469322344322345,0.6418918918918919
EfficientNet-b0,LogGC,2,f1-score,0.2926829268292683,0.3939393939393939,0.7835051546391754,0.8148148148148148,0.7111111111111111,0.576,0.6226415094339622,0.5247524752475248,0.7764705882352941,0.8037383177570094,0.6299656292007554,0.6420633563624953
EfficientNet-b0,LogGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
EfficientNet-b0,LogGC,3,precision,0.3333333333333333,0.6666666666666666,0.7407407407407407,0.7962962962962963,0.6875,0.47580645161290325,0.8536585365853658,0.5463917525773195,0.8691588785046729,0.62,0.6589552656317299,0.6455066142645319
EfficientNet-b0,LogGC,3,recall,0.39,0.4186046511627907,0.8,0.86,0.66,0.5514018691588785,0.9722222222222222,0.44166666666666665,0.7815126050420168,0.62,0.6495408014252575,0.6389189189189189
EfficientNet-b0,LogGC,3,f1-score,0.35944700460829493,0.5142857142857143,0.7692307692307692,0.826923076923077,0.673469387755102,0.5108225108225108,0.9090909090909091,0.48847926267281105,0.8230088495575221,0.62,0.649475748494671,0.6388780060209447
EfficientNet-b0,LogGC,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
