Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
EfficientNet-b0,LogGC,1,1,5e-05,0.00021563823975156993,0.0013328440254554152,0.6181192660550459
EfficientNet-b0,LogGC,1,2,5e-05,0.00013070485147181898,0.0011168122291564941,0.6697247706422018
EfficientNet-b0,LogGC,1,3,5e-05,9.56610165303573e-05,0.0011168522760272026,0.680045871559633
EfficientNet-b0,LogGC,1,4,5e-05,7.540162914665416e-05,0.001163699314929545,0.6823394495412844
EfficientNet-b0,LogGC,1,5,5e-05,6.340133404592052e-05,0.0011749460827559233,0.6995412844036697
EfficientNet-b0,LogGC,1,6,5e-05,5.3822030167793855e-05,0.0011576040415093303,0.6995412844036697
EfficientNet-b0,LogGC,1,7,5e-05,4.705063838628121e-05,0.001223507453687489,0.7155963302752294
EfficientNet-b0,LogGC,1,8,5e-05,4.0720882680034265e-05,0.0013346625491976738,0.6938073394495413
EfficientNet-b0,LogGC,1,9,5e-05,3.563856807886623e-05,0.0013711136998608708,0.7006880733944955
EfficientNet-b0,LogGC,1,10,5e-05,3.354825093992986e-05,0.0013480702182278037,0.7098623853211009
EfficientNet-b0,LogGC,1,11,5e-05,3.016396840394009e-05,0.001236736192367971,0.7144495412844036
EfficientNet-b0,LogGC,1,12,5e-05,2.688151471375022e-05,0.001397714833728969,0.7018348623853211
EfficientNet-b0,LogGC,1,13,5e-05,2.6473544494365342e-05,0.0013708524638786912,0.7282110091743119
EfficientNet-b0,LogGC,1,14,5e-05,2.39029286603909e-05,0.001354325097054243,0.7362385321100917
EfficientNet-b0,LogGC,1,15,5e-05,2.2307973267743364e-05,0.0014585996977984905,0.6995412844036697
EfficientNet-b0,LogGC,1,16,5e-05,2.0342948118923232e-05,0.0014922597911208868,0.7270642201834863
EfficientNet-b0,LogGC,1,17,5e-05,1.9026087102247402e-05,0.0016528131673112512,0.6961009174311926
EfficientNet-b0,LogGC,1,18,5e-05,1.815353607526049e-05,0.0015455844113603234,0.7247706422018348
