Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
EfficientNet-b0,Cochleagram,1,precision,0.7205882352941176,0.8974358974358975,0.8468468468468469,0.8034188034188035,0.5964912280701754,0.7009345794392523,0.9444444444444444,0.7446808510638298,0.9294117647058824,0.8514851485148515,0.8035737799234102,0.7833514068178867
EfficientNet-b0,Cochleagram,1,recall,0.49,0.9722222222222222,0.94,0.94,0.68,0.78125,0.9714285714285714,0.5882352941176471,0.9186046511627907,0.86,0.8141740738931231,0.7844036697247706
EfficientNet-b0,Cochleagram,1,f1-score,0.5833333333333334,0.9333333333333333,0.8909952606635071,0.8663594470046083,0.6355140186915889,0.7389162561576355,0.9577464788732395,0.6572769953051643,0.9239766081871345,0.8557213930348259,0.8043173124584369,0.7785864488186822
EfficientNet-b0,Cochleagram,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
EfficientNet-b0,Cochleagram,2,precision,0.6547619047619048,0.6842105263157895,0.8411214953271028,0.9690721649484536,0.8383838383838383,0.6050420168067226,0.9428571428571428,0.851063829787234,0.9318181818181818,0.7007874015748031,0.8019118502581174,0.7990730162223741
EfficientNet-b0,Cochleagram,2,recall,0.55,0.6190476190476191,0.9,0.94,0.83,0.72,0.9428571428571428,0.6666666666666666,0.9010989010989011,0.89,0.795967032967033,0.7927927927927928
EfficientNet-b0,Cochleagram,2,f1-score,0.5978260869565217,0.6500000000000001,0.8695652173913043,0.9543147208121826,0.8341708542713568,0.6575342465753424,0.9428571428571428,0.7476635514018691,0.9162011173184357,0.7841409691629956,0.7954273906747151,0.7918346141454643
EfficientNet-b0,Cochleagram,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
EfficientNet-b0,Cochleagram,3,precision,0.7228915662650602,0.8648648648648649,0.865979381443299,0.9230769230769231,0.7431192660550459,0.5121951219512195,0.9722222222222222,0.6339869281045751,0.8106060606060606,0.7904761904761904,0.783941852506546,0.7611772460046399
EfficientNet-b0,Cochleagram,3,recall,0.6,0.7441860465116279,0.84,0.84,0.81,0.3925233644859813,0.9722222222222222,0.8083333333333333,0.8991596638655462,0.83,0.7736424630418711,0.7621621621621621
EfficientNet-b0,Cochleagram,3,f1-score,0.6557377049180328,0.8,0.8527918781725888,0.8795811518324608,0.7751196172248804,0.4444444444444444,0.9722222222222222,0.7106227106227107,0.852589641434263,0.8097560975609757,0.7752865468432579,0.7578238844668671
EfficientNet-b0,Cochleagram,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
EfficientNet-b0,Cochleagram,4,precision,0.8932038834951457,0.9285714285714286,0.7477477477477478,0.8888888888888888,0.8446601941747572,0.8360655737704918,0.9230769230769231,0.8256880733944955,0.9447852760736196,0.8282828282828283,0.8660970817476326,0.8641585178288658
EfficientNet-b0,Cochleagram,4,recall,0.92,0.6610169491525424,0.83,0.88,0.87,0.9532710280373832,0.9473684210526315,0.75,0.927710843373494,0.82,0.8559367241616049,0.8616161616161616
EfficientNet-b0,Cochleagram,4,f1-score,0.9064039408866995,0.7722772277227723,0.7867298578199052,0.8844221105527638,0.8571428571428571,0.890829694323144,0.935064935064935,0.7860262008733625,0.9361702127659575,0.8241206030150754,0.8579187640167472,0.8606312501276464
EfficientNet-b0,Cochleagram,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
EfficientNet-b0,Cochleagram,5,precision,0.7745098039215687,0.9659090909090909,0.8762886597938144,0.8613861386138614,0.8484848484848485,0.8539325842696629,1.0,0.875,0.85,0.9326923076923077,0.8838203433685156,0.8768637095487702
EfficientNet-b0,Cochleagram,5,recall,0.79,0.8673469387755102,0.85,0.87,0.8484848484848485,0.7102803738317757,0.975,0.9916666666666667,0.9577464788732394,0.97,0.883052530663204,0.8759358288770054
EfficientNet-b0,Cochleagram,5,f1-score,0.7821782178217823,0.9139784946236559,0.8629441624365483,0.8656716417910448,0.8484848484848486,0.7755102040816326,0.9873417721518987,0.9296875,0.9006622516556291,0.9509803921568627,0.8817439485203902,0.8745776646888797
EfficientNet-b0,Cochleagram,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
EfficientNet-b0,Cochleagram,6,precision,0.49473684210526314,0.95,0.8316831683168316,0.8349514563106796,0.8125,0.5,0.9,0.6226415094339622,0.9130434782608695,0.8936170212765957,0.7753173475704201,0.7510980423253351
EfficientNet-b0,Cochleagram,6,recall,0.47,0.6785714285714286,0.84,0.86,0.91,0.5887850467289719,0.9782608695652174,0.4852941176470588,0.8513513513513513,0.84,0.7502262813864029,0.74726609963548
EfficientNet-b0,Cochleagram,6,f1-score,0.482051282051282,0.7916666666666667,0.835820895522388,0.8472906403940887,0.8584905660377358,0.5407725321888411,0.9375,0.5454545454545455,0.881118881118881,0.8659793814432989,0.7586145390877727,0.7465508024902288
EfficientNet-b0,Cochleagram,6,support,100.0,28.0,100.0,100.0,100.0,107.0,46.0,68.0,74.0,100.0,823.0,823.0
EfficientNet-b0,Cochleagram,7,precision,0.7333333333333333,0.7741935483870968,0.8936170212765957,0.9473684210526315,0.8255813953488372,0.788135593220339,0.9411764705882353,0.7368421052631579,0.8611111111111112,0.8181818181818182,0.8319540817763155,0.832140270538272
EfficientNet-b0,Cochleagram,7,recall,0.77,0.8571428571428571,0.84,0.9,0.71,0.8773584905660378,0.9411764705882353,0.7368421052631579,0.8051948051948052,0.9,0.8337714728755093,0.8293556085918854
EfficientNet-b0,Cochleagram,7,f1-score,0.7512195121951218,0.8135593220338982,0.8659793814432989,0.9230769230769231,0.7634408602150538,0.8303571428571429,0.9411764705882353,0.7368421052631579,0.8322147651006712,0.8571428571428572,0.8315009339916359,0.8293126592838704
EfficientNet-b0,Cochleagram,7,support,100.0,28.0,100.0,100.0,100.0,106.0,51.0,76.0,77.0,100.0,838.0,838.0
EfficientNet-b0,Cochleagram,8,precision,0.704225352112676,0.92,0.7065217391304348,0.8921568627450981,0.483695652173913,0.7865168539325843,0.9032258064516129,0.6041666666666666,0.6923076923076923,0.717391304347826,0.7410207929868504,0.7157363098890024
EfficientNet-b0,Cochleagram,8,recall,0.5,0.7666666666666667,0.6989247311827957,0.91,0.89,0.7954545454545454,0.9333333333333333,0.3717948717948718,0.5625,0.66,0.7088674148432214,0.6958698372966208
EfficientNet-b0,Cochleagram,8,f1-score,0.5847953216374269,0.8363636363636363,0.7027027027027027,0.900990099009901,0.6267605633802817,0.7909604519774012,0.9180327868852459,0.46031746031746035,0.6206896551724138,0.6875,0.712911267744647,0.6923057528712705
EfficientNet-b0,Cochleagram,8,support,100.0,30.0,93.0,100.0,100.0,88.0,30.0,78.0,80.0,100.0,799.0,799.0
