Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
EfficientNet-b0,LinGC,1,precision,0.5934959349593496,0.8,0.8205128205128205,0.8446601941747572,0.5688073394495413,0.8717948717948718,0.8048780487804879,0.8522727272727273,0.9195402298850575,0.9302325581395349,0.8006194724969149,0.7992372000444891
EfficientNet-b0,LinGC,1,recall,0.73,0.8888888888888888,0.96,0.87,0.62,0.7083333333333334,0.9428571428571428,0.6302521008403361,0.9302325581395349,0.8,0.8080564024059237,0.786697247706422
EfficientNet-b0,LinGC,1,f1-score,0.6547085201793722,0.8421052631578948,0.8847926267281105,0.8571428571428571,0.5933014354066987,0.7816091954022988,0.868421052631579,0.7246376811594203,0.9248554913294798,0.8602150537634408,0.7991789176901152,0.7873056361339041
EfficientNet-b0,LinGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
EfficientNet-b0,LinGC,2,precision,0.9024390243902439,0.8823529411764706,0.7741935483870968,0.9519230769230769,0.7870370370370371,0.7623762376237624,1.0,0.8571428571428571,0.96,0.8053097345132744,0.8682774457193819,0.8565358471554095
EfficientNet-b0,LinGC,2,recall,0.74,0.7142857142857143,0.96,0.99,0.85,0.77,1.0,0.8,0.7912087912087912,0.91,0.8525494505494505,0.8502252252252253
EfficientNet-b0,LinGC,2,f1-score,0.8131868131868132,0.7894736842105262,0.8571428571428571,0.9705882352941176,0.8173076923076923,0.7661691542288558,1.0,0.8275862068965518,0.8674698795180723,0.8544600938967136,0.8563384616682199,0.8494295982052679
EfficientNet-b0,LinGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
EfficientNet-b0,LinGC,3,precision,0.5943396226415094,0.8620689655172413,0.7909090909090909,0.8695652173913043,0.822429906542056,0.5333333333333333,0.9230769230769231,0.5902777777777778,0.85,0.8155339805825242,0.7651534817771759,0.7444621800590909
EfficientNet-b0,LinGC,3,recall,0.63,0.5813953488372093,0.87,0.8,0.88,0.37383177570093457,1.0,0.7083333333333334,0.8571428571428571,0.84,0.7540703315014334,0.745945945945946
EfficientNet-b0,LinGC,3,f1-score,0.6116504854368932,0.6944444444444445,0.8285714285714286,0.8333333333333333,0.8502415458937198,0.4395604395604396,0.9600000000000001,0.6439393939393939,0.8535564853556485,0.8275862068965517,0.7542883763431852,0.741014407770076
EfficientNet-b0,LinGC,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
EfficientNet-b0,LinGC,4,precision,0.8425925925925926,0.8666666666666667,0.7321428571428571,0.8877551020408163,0.85,0.8376068376068376,0.8888888888888888,0.8571428571428571,0.8674033149171271,0.8641975308641975,0.8494396647862841,0.847525196093409
EfficientNet-b0,LinGC,4,recall,0.91,0.6610169491525424,0.82,0.87,0.85,0.9158878504672897,0.8421052631578947,0.8,0.9457831325301205,0.7,0.8314793195307846,0.8454545454545455
EfficientNet-b0,LinGC,4,f1-score,0.8749999999999999,0.7500000000000001,0.7735849056603773,0.8787878787878789,0.85,0.875,0.8648648648648649,0.8275862068965518,0.9048991354466858,0.7734806629834253,0.8373203654639785,0.8437866776967363
EfficientNet-b0,LinGC,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
EfficientNet-b0,LinGC,5,precision,0.8584905660377359,0.9270833333333334,0.8877551020408163,0.9340659340659341,0.8947368421052632,0.9148936170212766,0.9090909090909091,0.9375,0.9333333333333333,0.9074074074074074,0.9104357044436011,0.9104052781196329
EfficientNet-b0,LinGC,5,recall,0.91,0.9081632653061225,0.87,0.85,0.8585858585858586,0.8037383177570093,1.0,1.0,0.9859154929577465,0.98,0.9166402934606737,0.9101604278074866
EfficientNet-b0,LinGC,5,f1-score,0.883495145631068,0.9175257731958762,0.8787878787878789,0.8900523560209425,0.8762886597938143,0.8557213930348259,0.9523809523809523,0.967741935483871,0.9589041095890412,0.9423076923076924,0.9123205896225961,0.9090941834827728
EfficientNet-b0,LinGC,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
EfficientNet-b0,LinGC,6,precision,0.5909090909090909,0.9629629629629629,0.7913043478260869,0.8272727272727273,0.912621359223301,0.5241379310344828,0.9387755102040817,0.9354838709677419,0.890625,0.9340659340659341,0.830815873446641,0.8036037596701833
EfficientNet-b0,LinGC,6,recall,0.52,0.9285714285714286,0.91,0.91,0.94,0.7102803738317757,1.0,0.4264705882352941,0.7702702702702703,0.85,0.7965592660908769,0.7861482381530984
EfficientNet-b0,LinGC,6,f1-score,0.5531914893617023,0.9454545454545454,0.8465116279069768,0.8666666666666667,0.9261083743842364,0.6031746031746031,0.968421052631579,0.5858585858585859,0.8260869565217391,0.8900523560209425,0.8011526257981577,0.7834527925741281
EfficientNet-b0,LinGC,6,support,100.0,28.0,100.0,100.0,100.0,107.0,46.0,68.0,74.0,100.0,823.0,823.0
EfficientNet-b0,LinGC,7,precision,0.6407766990291263,0.7777777777777778,0.9207920792079208,0.968421052631579,0.8461538461538461,0.7565217391304347,0.9795918367346939,0.8059701492537313,0.8157894736842105,0.8857142857142857,0.8397508939317605,0.8379279032096859
