Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
EfficientNet-b0,approxGT,1,precision,0.7954545454545454,0.6470588235294118,0.8380952380952381,0.8725490196078431,0.5789473684210527,0.6495726495726496,0.8717948717948718,0.7476635514018691,0.8850574712643678,0.8018867924528302,0.768808033159468,0.7682868280591316
EfficientNet-b0,approxGT,1,recall,0.35,0.9166666666666666,0.88,0.89,0.66,0.7916666666666666,0.9714285714285714,0.6722689075630253,0.8953488372093024,0.85,0.7877379649534231,0.7603211009174312
EfficientNet-b0,approxGT,1,f1-score,0.48611111111111105,0.7586206896551724,0.8585365853658538,0.8811881188118812,0.616822429906542,0.7136150234741784,0.9189189189189189,0.7079646017699116,0.8901734104046243,0.8252427184466019,0.7657193607864795,0.7518031496707405
EfficientNet-b0,approxGT,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
EfficientNet-b0,approxGT,2,precision,0.5120481927710844,0.574468085106383,0.7868852459016393,0.9072164948453608,0.8316831683168316,0.8125,0.9117647058823529,0.7910447761194029,0.9873417721518988,0.8947368421052632,0.8009689283200216,0.8055404201289635
EfficientNet-b0,approxGT,2,recall,0.85,0.6428571428571429,0.96,0.88,0.84,0.65,0.8857142857142857,0.44166666666666665,0.8571428571428571,0.85,0.7857380952380951,0.7792792792792793
EfficientNet-b0,approxGT,2,f1-score,0.6390977443609023,0.6067415730337079,0.8648648648648649,0.8934010152284264,0.835820895522388,0.7222222222222223,0.8985507246376812,0.5668449197860962,0.9176470588235295,0.8717948717948718,0.781698589027469,0.7783556931941159
EfficientNet-b0,approxGT,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
EfficientNet-b0,approxGT,3,precision,0.7333333333333333,0.7727272727272727,0.7166666666666667,0.8316831683168316,0.7016129032258065,0.7,1.0,0.8099173553719008,0.8559322033898306,0.717391304347826,0.7839264207379468,0.7710724596371212
EfficientNet-b0,approxGT,3,recall,0.66,0.7906976744186046,0.86,0.84,0.87,0.5233644859813084,0.9722222222222222,0.8166666666666667,0.8487394957983193,0.66,0.7841690545087121,0.7708108108108108
