Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
EfficientNet-b0,approxGT,1,1,5e-05,0.00020671264792326838,0.0013846114743500948,0.5974770642201835
EfficientNet-b0,approxGT,1,2,5e-05,0.00010916413157247007,0.0009813287761062384,0.7431192660550459
EfficientNet-b0,approxGT,1,3,5e-05,7.529363938374445e-05,0.0010771004017442465,0.7178899082568807
EfficientNet-b0,approxGT,1,4,5e-05,5.978966146358289e-05,0.001010741456411779,0.7396788990825688
EfficientNet-b0,approxGT,1,5,5e-05,4.8204645281657577e-05,0.0009933135006576777,0.7373853211009175
EfficientNet-b0,approxGT,1,6,5e-05,4.3496958824107423e-05,0.0009674689499661326,0.7603211009174312
EfficientNet-b0,approxGT,1,7,5e-05,3.555154034984298e-05,0.0010334751568734646,0.7694954128440367
EfficientNet-b0,approxGT,1,8,5e-05,3.273799302405678e-05,0.0011958401883020997,0.7557339449541285
EfficientNet-b0,approxGT,1,9,5e-05,2.9282346076797694e-05,0.0013907148968428373,0.7270642201834863
EfficientNet-b0,approxGT,1,10,5e-05,2.6314755814382806e-05,0.001162694301456213,0.7557339449541285
EfficientNet-b0,approxGT,1,11,5e-05,2.343600135645829e-05,0.0012277247151359916,0.75
EfficientNet-b0,approxGT,1,12,5e-05,2.1658752302755602e-05,0.0011533377692103386,0.7454128440366973
EfficientNet-b0,approxGT,1,13,5e-05,1.885115125332959e-05,0.0011957981623709202,0.7614678899082569
EfficientNet-b0,approxGT,1,14,5e-05,1.8764616470434703e-05,0.0013933853479102254,0.7603211009174312
EfficientNet-b0,approxGT,1,15,5e-05,1.6424772184109315e-05,0.0014051382895559072,0.7488532110091743
EfficientNet-b0,approxGT,1,16,5e-05,1.6932748621911742e-05,0.0012059640139341354,0.7614678899082569
EfficientNet-b0,approxGT,1,17,5e-05,1.6447687812615186e-05,0.0012220008065924048,0.768348623853211
EfficientNet-b0,approxGT,1,18,5e-05,1.3920527635491453e-05,0.0013565135886892676,0.7545871559633027
EfficientNet-b0,approxGT,1,19,5e-05,1.319211605732562e-05,0.0013277983525767922,0.7626146788990825
EfficientNet-b0,approxGT,1,20,5e-05,1.2192774192953948e-05,0.001376468688249588,0.7603211009174312
