Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
ResNet50,Cochleagram,1,precision,0.6710526315789473,0.9,0.9010989010989011,0.8173913043478261,0.5625,0.5986842105263158,0.9714285714285714,0.9384615384615385,0.963855421686747,0.9080459770114943,0.823251855614034,0.8078567143993423
ResNet50,Cochleagram,1,recall,0.51,1.0,0.82,0.94,0.72,0.9479166666666666,0.9714285714285714,0.5126050420168067,0.9302325581395349,0.79,0.8142182838251578,0.7798165137614679
ResNet50,Cochleagram,1,f1-score,0.5795454545454546,0.9473684210526316,0.8586387434554974,0.8744186046511627,0.631578947368421,0.7338709677419355,0.9714285714285714,0.6630434782608695,0.9467455621301776,0.8449197860962566,0.8051558536730978,0.7772813324874296
ResNet50,Cochleagram,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
ResNet50,Cochleagram,2,precision,0.8076923076923077,0.5918367346938775,0.8214285714285714,0.8942307692307693,0.7431192660550459,0.8105263157894737,1.0,0.8541666666666666,0.8961038961038961,0.8411214953271028,0.8260226022987711,0.8285072859852753
ResNet50,Cochleagram,2,recall,0.84,0.6904761904761905,0.92,0.93,0.81,0.77,1.0,0.6833333333333333,0.7582417582417582,0.9,0.8302051282051283,0.8243243243243243
ResNet50,Cochleagram,2,f1-score,0.8235294117647058,0.6373626373626373,0.8679245283018867,0.911764705882353,0.7751196172248804,0.7897435897435898,1.0,0.7592592592592592,0.8214285714285714,0.8695652173913043,0.8255697538359188,0.8236430730982139
ResNet50,Cochleagram,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
ResNet50,Cochleagram,3,precision,0.6805555555555556,0.9285714285714286,0.794392523364486,0.7964601769911505,0.6728971962616822,0.7078651685393258,0.9459459459459459,0.768,0.9217391304347826,0.7033898305084746,0.7919816956172833,0.7744223603310351
ResNet50,Cochleagram,3,recall,0.49,0.9069767441860465,0.85,0.9,0.72,0.5887850467289719,0.9722222222222222,0.8,0.8907563025210085,0.83,0.7948740315658249,0.7762162162162162
ResNet50,Cochleagram,3,f1-score,0.5697674418604651,0.9176470588235294,0.8212560386473431,0.8450704225352113,0.6956521739130436,0.6428571428571428,0.9589041095890412,0.7836734693877552,0.905982905982906,0.7614678899082568,0.7902278653504695,0.7718262319840647
ResNet50,Cochleagram,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
ResNet50,Cochleagram,4,precision,0.8266666666666667,0.8070175438596491,0.78125,0.8598130841121495,0.7319587628865979,0.7593984962406015,0.8974358974358975,0.6692307692307692,0.9176470588235294,0.8255813953488372,0.8075999674604699,0.8061983164261122
ResNet50,Cochleagram,4,recall,0.62,0.7796610169491526,0.75,0.92,0.71,0.9439252336448598,0.9210526315789473,0.725,0.9397590361445783,0.71,0.8019397918317537,0.804040404040404
ResNet50,Cochleagram,4,f1-score,0.7085714285714284,0.7931034482758621,0.7653061224489796,0.888888888888889,0.7208121827411167,0.8416666666666667,0.9090909090909091,0.696,0.9285714285714286,0.7634408602150538,0.8015451935470335,0.8017794916731996
ResNet50,Cochleagram,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
ResNet50,Cochleagram,5,precision,0.6640625,0.9642857142857143,0.8202247191011236,0.851063829787234,0.87,0.8266666666666667,0.975609756097561,0.9224806201550387,0.8285714285714286,0.8,0.8522965234664767,0.846170132955345
ResNet50,Cochleagram,5,recall,0.85,0.826530612244898,0.73,0.8,0.8787878787878788,0.5794392523364486,1.0,0.9916666666666667,0.8169014084507042,1.0,0.8473325818486597,0.839572192513369
ResNet50,Cochleagram,5,f1-score,0.7456140350877193,0.8901098901098902,0.7724867724867724,0.8247422680412372,0.8743718592964824,0.6813186813186813,0.9876543209876543,0.9558232931726908,0.822695035460993,0.888888888888889,0.844370504485101,0.8368814911129854
ResNet50,Cochleagram,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
ResNet50,Cochleagram,6,precision,0.7446808510638298,0.8064516129032258,0.865979381443299,0.9270833333333334,0.908256880733945,0.7931034482758621,1.0,0.8571428571428571,0.9047619047619048,0.6052631578947368,0.8412723427552994,0.8308714092488666
ResNet50,Cochleagram,6,recall,0.7,0.8928571428571429,0.84,0.89,0.99,0.6448598130841121,0.9782608695652174,0.6176470588235294,0.7702702702702703,0.92,0.8243895154600273,0.8165249088699879
