Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
ResNet50,Cochleagram,1,1,5e-05,0.00017323772772215307,0.001247587613761425,0.6192660550458715
ResNet50,Cochleagram,1,2,5e-05,6.959052552701905e-05,0.0009547368972562253,0.6857798165137615
ResNet50,Cochleagram,1,3,5e-05,4.202601485303603e-05,0.000835645420011133,0.7798165137614679
ResNet50,Cochleagram,1,4,5e-05,3.0572588002542034e-05,0.000963107799179852,0.7477064220183486
ResNet50,Cochleagram,1,5,5e-05,2.2751612050342374e-05,0.0009664977551437914,0.7442660550458715
ResNet50,Cochleagram,1,6,5e-05,1.7810885765356943e-05,0.0009914749534800649,0.7614678899082569
ResNet50,Cochleagram,1,7,5e-05,1.5506751879001968e-05,0.0012781848199665546,0.7740825688073395
ResNet50,Cochleagram,1,8,5e-05,1.3809618394589052e-05,0.0010338510619476438,0.7637614678899083
ResNet50,Cochleagram,1,9,5e-05,1.1341728168190457e-05,0.0011282955529168248,0.7958715596330275
ResNet50,Cochleagram,1,10,5e-05,1.046985198627226e-05,0.0012135745491832495,0.805045871559633
ResNet50,Cochleagram,1,11,5e-05,9.23339121072786e-06,0.0008664753986522555,0.7878440366972477
ResNet50,Cochleagram,1,12,5e-05,7.669225851714145e-06,0.0010329599026590586,0.7935779816513762
ResNet50,Cochleagram,1,13,5e-05,7.317328709177673e-06,0.001071687787771225,0.7821100917431193
ResNet50,Cochleagram,1,14,5e-05,7.088184247550089e-06,0.0010937711922451854,0.7981651376146789
ResNet50,Cochleagram,1,15,5e-05,6.272588052524952e-06,0.001127308001741767,0.7912844036697247
ResNet50,Cochleagram,1,16,5e-05,6.380377271852922e-06,0.0010990062728524208,0.7740825688073395
ResNet50,Cochleagram,1,17,5e-05,5.931561645411421e-06,0.001148322829976678,0.768348623853211
ResNet50,Cochleagram,1,18,5e-05,5.492084255820373e-06,0.0010911719873547554,0.7878440366972477
ResNet50,Cochleagram,1,19,5e-05,5.242384304438019e-06,0.0011875898344442248,0.7798165137614679
ResNet50,Cochleagram,1,20,5e-05,5.2246032282710075e-06,0.0011645581107586622,0.7912844036697247
ResNet50,Cochleagram,2,1,5e-05,0.00016950922145042568,0.0009605817613191903,0.7218468468468469
ResNet50,Cochleagram,2,2,5e-05,6.50880829198286e-05,0.0007363840704783797,0.7871621621621622
ResNet50,Cochleagram,2,3,5e-05,4.1477665945421904e-05,0.0006500427844002843,0.8243243243243243
ResNet50,Cochleagram,2,4,5e-05,2.769908132904675e-05,0.0007788214134052396,0.795045045045045
ResNet50,Cochleagram,2,5,5e-05,2.0993620637455024e-05,0.0008037344086915255,0.8063063063063063
ResNet50,Cochleagram,2,6,5e-05,1.633316969673615e-05,0.000976923736743629,0.7713963963963963
ResNet50,Cochleagram,2,7,5e-05,1.340328799415147e-05,0.0008168159401975572,0.8051801801801802
ResNet50,Cochleagram,2,8,5e-05,1.2283194337214809e-05,0.0008229187224060297,0.8220720720720721
ResNet50,Cochleagram,2,9,5e-05,1.0675820703909267e-05,0.0007341130985878408,0.8119369369369369
ResNet50,Cochleagram,2,10,5e-05,9.578949175192975e-06,0.0008290451369248331,0.8130630630630631
ResNet50,Cochleagram,2,11,5e-05,8.956651072367094e-06,0.0008406119886785746,0.8119369369369369
ResNet50,Cochleagram,2,12,5e-05,8.2907417890965e-06,0.0009403639123775065,0.8198198198198198
ResNet50,Cochleagram,2,13,5e-05,7.307681698875967e-06,0.0008963518775999546,0.7927927927927928
ResNet50,Cochleagram,2,14,5e-05,6.892244527989533e-06,0.0008889377349987626,0.8029279279279279
ResNet50,Cochleagram,2,15,5e-05,6.708379714837065e-06,0.0007410391699522734,0.8423423423423423
ResNet50,Cochleagram,2,16,5e-05,5.178749688639073e-06,0.0008125145104713738,0.8220720720720721
ResNet50,Cochleagram,2,17,5e-05,5.742580015066778e-06,0.0008348088595084846,0.8063063063063063
ResNet50,Cochleagram,2,18,5e-05,5.505622084456263e-06,0.000853743520565331,0.8074324324324325
ResNet50,Cochleagram,2,19,5e-05,5.262823378870962e-06,0.0008808505372144282,0.8209459459459459
ResNet50,Cochleagram,2,20,5e-05,4.7665794227214064e-06,0.0012348601594567299,0.7342342342342343
ResNet50,Cochleagram,3,1,5e-05,0.00017082333215512335,0.0009960723109543324,0.7124324324324325
ResNet50,Cochleagram,3,2,5e-05,6.488650251412764e-05,0.000874845078215003,0.6940540540540541
ResNet50,Cochleagram,3,3,5e-05,4.0060382161755115e-05,0.0009247358539141715,0.7091891891891892
ResNet50,Cochleagram,3,4,5e-05,2.828022843459621e-05,0.0008449876913800836,0.7329729729729729
ResNet50,Cochleagram,3,5,5e-05,2.2195064957486466e-05,0.0010520057985559106,0.692972972972973
ResNet50,Cochleagram,3,6,5e-05,1.7547698007547297e-05,0.0009648659033700824,0.7124324324324325
ResNet50,Cochleagram,3,7,5e-05,1.5045171494421083e-05,0.0009318130323663354,0.7318918918918919
ResNet50,Cochleagram,3,8,5e-05,1.2459557183319703e-05,0.0007626212318427861,0.7762162162162162
ResNet50,Cochleagram,3,9,5e-05,1.1800287211372051e-05,0.0010890275007113814,0.7124324324324325
ResNet50,Cochleagram,3,10,5e-05,1.0266526260238606e-05,0.0010742521844804287,0.7318918918918919
ResNet50,Cochleagram,3,11,5e-05,9.324572602054104e-06,0.0011583506129682064,0.7297297297297297
ResNet50,Cochleagram,3,12,5e-05,8.129321940941736e-06,0.0011216752463951707,0.7254054054054054
ResNet50,Cochleagram,3,13,5e-05,7.939133865875192e-06,0.0008944814326241612,0.787027027027027
ResNet50,Cochleagram,3,14,5e-05,6.655777724517975e-06,0.0010412797564640641,0.7383783783783784
ResNet50,Cochleagram,3,15,5e-05,6.826378921687137e-06,0.0008906606235541403,0.7621621621621621
ResNet50,Cochleagram,3,16,5e-05,5.98614860791713e-06,0.0008143629529513419,0.7610810810810811
ResNet50,Cochleagram,3,17,5e-05,5.3155522437009495e-06,0.0008469480671919882,0.7891891891891892
ResNet50,Cochleagram,3,18,5e-05,5.509292805072619e-06,0.0010167125146836042,0.7491891891891892
ResNet50,Cochleagram,3,19,5e-05,5.921751380810747e-06,0.0009180065244436264,0.7545945945945945
ResNet50,Cochleagram,3,20,5e-05,4.269857072358718e-06,0.0008951108320616186,0.7643243243243243
ResNet50,Cochleagram,4,1,5e-05,0.0001740048755891621,0.0008767680847086012,0.7191919191919192
ResNet50,Cochleagram,4,2,5e-05,6.880344881210476e-05,0.0006021190783940256,0.805050505050505
ResNet50,Cochleagram,4,3,5e-05,4.484351666178554e-05,0.0006828549085184932,0.796969696969697
ResNet50,Cochleagram,4,4,5e-05,3.057079447899014e-05,0.0006046027992852032,0.802020202020202
ResNet50,Cochleagram,4,5,5e-05,2.2860300305183046e-05,0.0005923009593971074,0.804040404040404
ResNet50,Cochleagram,4,6,5e-05,1.9243063434259966e-05,0.00064236851176247,0.794949494949495
ResNet50,Cochleagram,4,7,5e-05,1.687312760623172e-05,0.000678158481605351,0.8282828282828283
ResNet50,Cochleagram,4,8,5e-05,1.43693669087952e-05,0.0006143860518932343,0.8252525252525252
ResNet50,Cochleagram,4,9,5e-05,1.120086744776927e-05,0.0006277197389863431,0.8272727272727273
ResNet50,Cochleagram,4,10,5e-05,9.824472726904787e-06,0.0006558446912094951,0.8313131313131313
ResNet50,Cochleagram,4,11,5e-05,9.330494322057348e-06,0.0007071482250466943,0.8080808080808081
ResNet50,Cochleagram,4,12,5e-05,9.027813575812615e-06,0.0008729757973924279,0.8111111111111111
ResNet50,Cochleagram,4,13,5e-05,8.569450983486604e-06,0.0008150583598762751,0.8131313131313131
ResNet50,Cochleagram,4,14,5e-05,7.806659596099053e-06,0.00078038708306849,0.8
ResNet50,Cochleagram,4,15,5e-05,6.300589575403137e-06,0.0007801369065418839,0.805050505050505
ResNet50,Cochleagram,4,16,5e-05,6.854704679426504e-06,0.0010853968560695648,0.7757575757575758
ResNet50,Cochleagram,4,17,5e-05,6.487819973699516e-06,0.0011020747479051352,0.7787878787878788
ResNet50,Cochleagram,4,18,5e-05,5.908755156269763e-06,0.0009762815316207707,0.7858585858585858
ResNet50,Cochleagram,4,19,5e-05,5.844105544383638e-06,0.0008385283872485161,0.8111111111111111
ResNet50,Cochleagram,4,20,5e-05,5.357631380320527e-06,0.0011170451762154698,0.7747474747474747
ResNet50,Cochleagram,5,1,5e-05,0.00017136761744040996,0.0010753324022516608,0.6598930481283423
ResNet50,Cochleagram,5,2,5e-05,6.846108590252697e-05,0.0004917877377010882,0.8513368983957219
ResNet50,Cochleagram,5,3,5e-05,4.258027911419049e-05,0.0004848072421737015,0.839572192513369
ResNet50,Cochleagram,5,4,5e-05,3.2216968975262716e-05,0.0006386160384863615,0.8245989304812834
ResNet50,Cochleagram,5,5,5e-05,2.3279495508177206e-05,0.000574377947486937,0.8192513368983957
ResNet50,Cochleagram,5,6,5e-05,1.7933938579517417e-05,0.0005221206811256707,0.8566844919786096
ResNet50,Cochleagram,5,7,5e-05,1.550148954265751e-05,0.0006033537210896611,0.8181818181818182
ResNet50,Cochleagram,5,8,5e-05,1.2513210094766691e-05,0.0005800248472951353,0.8502673796791443
