Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
ResNet50,LinGC,1,precision,0.6090909090909091,0.8888888888888888,0.8775510204081632,0.8076923076923077,0.515625,0.7391304347826086,0.7391304347826086,0.8765432098765432,0.9540229885057471,0.8777777777777778,0.7885452971805554,0.7843513846791748
ResNet50,LinGC,1,recall,0.67,0.8888888888888888,0.86,0.84,0.66,0.7083333333333334,0.9714285714285714,0.5966386554621849,0.9651162790697675,0.79,0.7950405728182746,0.768348623853211
ResNet50,LinGC,1,f1-score,0.638095238095238,0.8888888888888888,0.8686868686868686,0.8235294117647058,0.5789473684210525,0.723404255319149,0.8395061728395062,0.71,0.9595375722543352,0.831578947368421,0.7862174723638166,0.7705545174398194
ResNet50,LinGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
ResNet50,LinGC,2,precision,0.8658536585365854,0.8064516129032258,0.7698412698412699,0.9230769230769231,0.9285714285714286,0.7407407407407407,0.8974358974358975,0.8709677419354839,0.9240506329113924,0.7747747747747747,0.8501764680727723,0.849292612988242
ResNet50,LinGC,2,recall,0.71,0.5952380952380952,0.97,0.96,0.78,0.8,1.0,0.9,0.8021978021978022,0.86,0.8377435897435899,0.8434684684684685
ResNet50,LinGC,2,f1-score,0.7802197802197803,0.684931506849315,0.8584070796460176,0.9411764705882353,0.8478260869565217,0.7692307692307692,0.945945945945946,0.8852459016393444,0.8588235294117648,0.8151658767772512,0.8386972947264943,0.8417345575572397
ResNet50,LinGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
ResNet50,LinGC,3,precision,0.4885057471264368,0.9032258064516129,0.7807017543859649,0.9010989010989011,0.6194029850746269,0.6875,0.9230769230769231,0.8441558441558441,0.9772727272727273,0.7168141592920354,0.7841754847935073,0.7717605291352875
ResNet50,LinGC,3,recall,0.85,0.6511627906976745,0.89,0.82,0.83,0.411214953271028,1.0,0.5416666666666666,0.7226890756302521,0.81,0.7526733486265622,0.7340540540540541
