Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
ResNet50,LogGC,1,precision,0.6842105263157895,0.6808510638297872,0.7209302325581395,0.803921568627451,0.6,0.5565217391304348,0.8648648648648649,0.5794392523364486,0.8205128205128205,0.7431192660550459,0.7054371334230781,0.691447853752806
ResNet50,LogGC,1,recall,0.26,0.8888888888888888,0.93,0.82,0.66,0.6666666666666666,0.9142857142857143,0.5210084033613446,0.7441860465116279,0.81,0.7215035719714242,0.6903669724770642
ResNet50,LogGC,1,f1-score,0.37681159420289856,0.7710843373493975,0.8122270742358079,0.8118811881188118,0.6285714285714286,0.6066350710900474,0.888888888888889,0.5486725663716815,0.7804878048780488,0.7751196172248804,0.7000379570931891,0.6765850813457099
ResNet50,LogGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
ResNet50,LogGC,2,precision,0.45454545454545453,0.5757575757575758,0.7130434782608696,0.8113207547169812,0.7547169811320755,0.3440366972477064,0.9411764705882353,0.7391304347826086,0.9285714285714286,0.851063829787234,0.711336310539017,0.7017920792740445
ResNet50,LogGC,2,recall,0.3,0.4523809523809524,0.82,0.86,0.8,0.75,0.9142857142857143,0.2833333333333333,0.7142857142857143,0.8,0.6694285714285714,0.6565315315315315
ResNet50,LogGC,2,f1-score,0.3614457831325301,0.5066666666666667,0.7627906976744185,0.8349514563106797,0.7766990291262137,0.4716981132075471,0.9275362318840579,0.4096385542168674,0.8074534161490684,0.8247422680412372,0.6683622216409286,0.6527155295504437
ResNet50,LogGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
ResNet50,LogGC,3,precision,0.176056338028169,0.5,0.5753424657534246,0.9111111111111111,0.64,0.3055555555555556,0.9459459459459459,0.5925925925925926,0.6793893129770993,0.6794871794871795,0.6005480501451077,0.5820612403155383
ResNet50,LogGC,3,recall,0.25,0.5581395348837209,0.84,0.82,0.64,0.205607476635514,0.9722222222222222,0.4,0.7478991596638656,0.53,0.5963868393405323,0.5686486486486486
ResNet50,LogGC,3,f1-score,0.20661157024793386,0.5274725274725274,0.6829268292682927,0.8631578947368421,0.64,0.24581005586592178,0.9589041095890412,0.4776119402985075,0.712,0.5955056179775281,0.5910000545456594,0.5668812612573604
ResNet50,LogGC,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
ResNet50,LogGC,4,precision,0.7272727272727273,0.5526315789473685,0.696078431372549,0.6821705426356589,0.782608695652174,0.6861313868613139,0.9354838709677419,0.7403846153846154,0.888235294117647,0.7763157894736842,0.7467312932685479,0.7518257979385781
ResNet50,LogGC,4,recall,0.64,0.3559322033898305,0.71,0.88,0.9,0.8785046728971962,0.7631578947368421,0.6416666666666667,0.9096385542168675,0.59,0.7268899991907403,0.7515151515151515
ResNet50,LogGC,4,f1-score,0.6808510638297872,0.4329896907216495,0.7029702970297029,0.7685589519650655,0.8372093023255814,0.7704918032786885,0.8405797101449276,0.6875000000000001,0.8988095238095238,0.6704545454545454,0.7290414888559471,0.7450887279815692
ResNet50,LogGC,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
ResNet50,LogGC,5,precision,0.8333333333333334,0.8888888888888888,0.8783783783783784,0.8681318681318682,0.7676767676767676,0.5726495726495726,0.8695652173913043,0.6744186046511628,0.8611111111111112,0.803921568627451,0.8018075310839838,0.7910297971918707
