Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
ResNet50,LogGC,1,1,5e-05,0.00019211781909689307,0.0012121147010475397,0.6020642201834863
ResNet50,LogGC,1,2,5e-05,9.69946850091219e-05,0.0012273287866264582,0.6444954128440367
ResNet50,LogGC,1,3,5e-05,6.276399653870612e-05,0.0010114122414961457,0.6903669724770642
ResNet50,LogGC,1,4,5e-05,4.649708353099413e-05,0.0011083948193117976,0.6961009174311926
ResNet50,LogGC,1,5,5e-05,3.497344005154446e-05,0.0011287250090390444,0.6892201834862385
ResNet50,LogGC,1,6,5e-05,2.7551388484425843e-05,0.0010991968447342515,0.7144495412844036
ResNet50,LogGC,1,7,5e-05,2.3138787582865916e-05,0.0011596183758229017,0.7087155963302753
ResNet50,LogGC,1,8,5e-05,1.9312250515213236e-05,0.0014521166449412704,0.6972477064220184
ResNet50,LogGC,1,9,5e-05,1.7992435459746048e-05,0.0014162944862619042,0.694954128440367
ResNet50,LogGC,1,10,5e-05,1.546192834211979e-05,0.0012043144088238478,0.7075688073394495
ResNet50,LogGC,1,11,5e-05,1.3866359950043261e-05,0.0015374372014775872,0.7041284403669725
ResNet50,LogGC,1,12,5e-05,1.2417252037266735e-05,0.0011801071232184768,0.7293577981651376
ResNet50,LogGC,1,13,5e-05,1.2175459232821595e-05,0.0013842625776305795,0.7247706422018348
ResNet50,LogGC,1,14,5e-05,1.063450599758653e-05,0.0013089677086099982,0.7270642201834863
ResNet50,LogGC,1,15,5e-05,1.0678767466743011e-05,0.0014725117944180965,0.7029816513761468
ResNet50,LogGC,1,16,5e-05,1.0174547242058907e-05,0.0015509548829868436,0.7006880733944955
ResNet50,LogGC,1,17,5e-05,9.157221029454377e-06,0.0014142733998596668,0.7087155963302753
ResNet50,LogGC,1,18,5e-05,8.03689363237936e-06,0.0016196740325540304,0.6754587155963303
ResNet50,LogGC,1,19,5e-05,7.72916610003449e-06,0.0016340893926098943,0.6892201834862385
ResNet50,LogGC,1,20,5e-05,7.649695362488274e-06,0.0014893690822646022,0.716743119266055
ResNet50,LogGC,2,1,5e-05,0.00018832845671568066,0.0012811090564355254,0.5990990990990991
ResNet50,LogGC,2,2,5e-05,9.455613326281309e-05,0.0012017822591587901,0.6565315315315315
ResNet50,LogGC,2,3,5e-05,6.351804040605202e-05,0.0014221202582120895,0.6497747747747747
ResNet50,LogGC,2,4,5e-05,4.582587644108571e-05,0.0013518210034817457,0.6903153153153153
ResNet50,LogGC,2,5,5e-05,3.568834290490486e-05,0.0012476388365030289,0.668918918918919
ResNet50,LogGC,2,6,5e-05,2.9621751309605315e-05,0.0015274389879778028,0.6418918918918919
ResNet50,LogGC,2,7,5e-05,2.309706360392738e-05,0.0019175764173269272,0.6587837837837838
ResNet50,LogGC,2,8,5e-05,1.8960232409881428e-05,0.001665530726313591,0.6441441441441441
ResNet50,LogGC,2,9,5e-05,1.731309384922497e-05,0.0016772323288023472,0.652027027027027
ResNet50,LogGC,2,10,5e-05,1.5939955119392835e-05,0.0018919458379969,0.6745495495495496
ResNet50,LogGC,2,11,5e-05,1.3447493984131142e-05,0.001831951318308711,0.6565315315315315
ResNet50,LogGC,2,12,5e-05,1.254893959412584e-05,0.002036578254774213,0.6317567567567568
ResNet50,LogGC,2,13,5e-05,1.2464009159884881e-05,0.0016331977676600218,0.6824324324324325
ResNet50,LogGC,2,14,5e-05,1.186532335850643e-05,0.0018602844793349504,0.6711711711711712
ResNet50,LogGC,2,15,5e-05,9.303266779170372e-06,0.0018719577929005027,0.6779279279279279
ResNet50,LogGC,2,16,5e-05,9.316494470112957e-06,0.001917748712003231,0.6644144144144144
ResNet50,LogGC,2,17,5e-05,7.0499709181603976e-06,0.0017830593278631568,0.7015765765765766
ResNet50,LogGC,2,18,5e-05,7.711879334237892e-06,0.002019692212343216,0.668918918918919
ResNet50,LogGC,2,19,5e-05,8.917744708014652e-06,0.002182356547564268,0.6463963963963963
ResNet50,LogGC,2,20,5e-05,7.682402610953432e-06,0.0017915978096425533,0.6666666666666666
ResNet50,LogGC,3,1,5e-05,0.00019041704945266247,0.001548777800053358,0.505945945945946
ResNet50,LogGC,3,2,5e-05,9.297489305026829e-05,0.001445581205189228,0.5686486486486486
ResNet50,LogGC,3,3,5e-05,6.567138916580006e-05,0.0015257932245731354,0.5621621621621622
ResNet50,LogGC,3,4,5e-05,4.556918429443613e-05,0.0015566699439659715,0.5967567567567568
ResNet50,LogGC,3,5,5e-05,3.607252801884897e-05,0.001611080253496766,0.6356756756756756
ResNet50,LogGC,3,6,5e-05,2.7823078198707663e-05,0.001644269679673016,0.6054054054054054
ResNet50,LogGC,3,7,5e-05,2.4512559321010485e-05,0.002069081412628293,0.5902702702702702
ResNet50,LogGC,3,8,5e-05,2.032438169408124e-05,0.0019585778936743736,0.625945945945946
ResNet50,LogGC,3,9,5e-05,1.8683924281504005e-05,0.0018462628358975053,0.6086486486486486
ResNet50,LogGC,3,10,5e-05,1.4927067240932956e-05,0.0019986191764473915,0.6
ResNet50,LogGC,3,11,5e-05,1.4335101695905905e-05,0.0024059333372861147,0.5794594594594594
ResNet50,LogGC,3,12,5e-05,1.1932487723242957e-05,0.002177984919399023,0.6183783783783784
ResNet50,LogGC,3,13,5e-05,1.165388403023826e-05,0.0020463927648961544,0.5956756756756757
ResNet50,LogGC,3,14,5e-05,1.1535888006619643e-05,0.002099114703014493,0.5827027027027027
ResNet50,LogGC,3,15,5e-05,1.0032672435045242e-05,0.0022838946897536516,0.6032432432432432
ResNet50,LogGC,3,16,5e-05,1.0232351996819489e-05,0.002278822474181652,0.6237837837837837
ResNet50,LogGC,3,17,5e-05,9.146368938672822e-06,0.0019072116119787097,0.6172972972972973
ResNet50,LogGC,3,18,5e-05,8.51990444061812e-06,0.0021948465146124363,0.5989189189189189
ResNet50,LogGC,3,19,5e-05,7.976565029821359e-06,0.0021211039274930954,0.6064864864864865
ResNet50,LogGC,3,20,5e-05,7.161203484429279e-06,0.002126710955053568,0.6118918918918919
ResNet50,LogGC,4,1,5e-05,0.0001969290169654414,0.001062829396687448,0.6313131313131313
ResNet50,LogGC,4,2,5e-05,0.00010054712038254365,0.000855287245940417,0.7202020202020202
ResNet50,LogGC,4,3,5e-05,6.377817771863192e-05,0.0008242888725362718,0.7515151515151515
ResNet50,LogGC,4,4,5e-05,4.5944932935526595e-05,0.0009140648762695491,0.7070707070707071
ResNet50,LogGC,4,5,5e-05,3.774202195927501e-05,0.0009762436966411769,0.7212121212121212
ResNet50,LogGC,4,6,5e-05,2.9453489332809113e-05,0.00127124460414052,0.6535353535353535
ResNet50,LogGC,4,7,5e-05,2.5206099962815642e-05,0.0009819903643801808,0.7181818181818181
ResNet50,LogGC,4,8,5e-05,2.054609649349004e-05,0.0010967744747176766,0.7303030303030303
ResNet50,LogGC,4,9,5e-05,1.8311155145056546e-05,0.0010597361251711845,0.7282828282828283
ResNet50,LogGC,4,10,5e-05,1.55611960508395e-05,0.0009320981916971505,0.7424242424242424
ResNet50,LogGC,4,11,5e-05,1.464881825086195e-05,0.0010579158551990986,0.7424242424242424
ResNet50,LogGC,4,12,5e-05,1.441396580048604e-05,0.0010911962017416954,0.7434343434343434
ResNet50,LogGC,4,13,5e-05,1.3466764357872307e-05,0.0009685077238827944,0.7595959595959596
ResNet50,LogGC,4,14,5e-05,1.2444616913853679e-05,0.0009326292783953249,0.7656565656565657
ResNet50,LogGC,4,15,5e-05,1.039677590597421e-05,0.0011135208187624812,0.7303030303030303
ResNet50,LogGC,4,16,5e-05,9.726319149194751e-06,0.0011668149381875992,0.694949494949495
ResNet50,LogGC,4,17,5e-05,1.049790171236964e-05,0.001208477420732379,0.7252525252525253
ResNet50,LogGC,4,18,5e-05,8.779422387306113e-06,0.0010138903744518757,0.7363636363636363
ResNet50,LogGC,4,19,5e-05,7.463736892532324e-06,0.001009626081213355,0.7535353535353535
ResNet50,LogGC,4,20,5e-05,7.828544767107815e-06,0.0012296410277485847,0.7141414141414142
ResNet50,LogGC,5,1,5e-05,0.00018955582345370203,0.0011593326926231384,0.6524064171122995
ResNet50,LogGC,5,2,5e-05,9.94354413705878e-05,0.0011747322278097272,0.6245989304812835
ResNet50,LogGC,5,3,5e-05,7.050802378216758e-05,0.0009691847371868789,0.6898395721925134
ResNet50,LogGC,5,4,5e-05,5.2190378482919186e-05,0.0008042072295211256,0.7379679144385026
ResNet50,LogGC,5,5,5e-05,3.969447789131664e-05,0.0006699386285617948,0.7775401069518717
ResNet50,LogGC,5,6,5e-05,3.179976556566544e-05,0.0008725629886612296,0.7358288770053476
ResNet50,LogGC,5,7,5e-05,2.526633397792466e-05,0.0009530252427794039,0.7411764705882353
ResNet50,LogGC,5,8,5e-05,2.211173159594182e-05,0.0009107259684242308,0.7657754010695187
ResNet50,LogGC,5,9,5e-05,1.9119908756692894e-05,0.0010076452745124698,0.73475935828877
ResNet50,LogGC,5,10,5e-05,1.796374453988392e-05,0.000988353043794632,0.73475935828877
ResNet50,LogGC,5,11,5e-05,1.4697219739900902e-05,0.0008779612835496664,0.7433155080213903
ResNet50,LogGC,5,12,5e-05,1.4680132153443992e-05,0.0010985045228153467,0.7229946524064171
ResNet50,LogGC,5,13,5e-05,1.2062326277373359e-05,0.0009301017853431404,0.760427807486631
ResNet50,LogGC,5,14,5e-05,1.2937523024447728e-05,0.0010504208039492369,0.7475935828877005
ResNet50,LogGC,5,15,5e-05,1.2338677152001765e-05,0.0010939897038042545,0.746524064171123
ResNet50,LogGC,5,16,5e-05,9.887257874652278e-06,0.0010221798438578844,0.7401069518716578
ResNet50,LogGC,5,17,5e-05,9.76410592556931e-06,0.0010883118957281113,0.7689839572192514
ResNet50,LogGC,5,18,5e-05,8.698118108441122e-06,0.0010675950907170773,0.7657754010695187
ResNet50,LogGC,5,19,5e-05,9.298439181293361e-06,0.0011106438469141722,0.7508021390374332
ResNet50,LogGC,5,20,5e-05,8.605017683294136e-06,0.001041880575940013,0.7754010695187166
ResNet50,LogGC,6,1,5e-05,0.00019093643641099334,0.0013676886446774006,0.6099635479951397
ResNet50,LogGC,6,2,5e-05,9.571556438459083e-05,0.0011635486735031009,0.68408262454435
ResNet50,LogGC,6,3,5e-05,6.285558629315346e-05,0.0011685555800795555,0.6816524908869988
ResNet50,LogGC,6,4,5e-05,4.754632755066268e-05,0.00117521733045578,0.6986634264884569
ResNet50,LogGC,6,5,5e-05,3.639775241026655e-05,0.001313033397309482,0.7035236938031592
ResNet50,LogGC,6,6,5e-05,3.010642103618011e-05,0.0012680612271651626,0.7108140947752126
ResNet50,LogGC,6,7,5e-05,2.3083515770849772e-05,0.0013043894432485104,0.7120291616038882
ResNet50,LogGC,6,8,5e-05,2.0218205463606864e-05,0.0014182273298501968,0.7193195625759417
ResNet50,LogGC,6,9,5e-05,1.7719430616125464e-05,0.0012789577012881637,0.7083839611178615
ResNet50,LogGC,6,10,5e-05,1.6393452824559063e-05,0.0013709764461964369,0.7302551640340219
ResNet50,LogGC,6,11,5e-05,1.3512752957467455e-05,0.0013085282407701015,0.7387606318347509
ResNet50,LogGC,6,12,5e-05,1.3255486919661053e-05,0.0013228452298790216,0.741190765492102
ResNet50,LogGC,6,13,5e-05,1.1835814802907407e-05,0.0012086695060133934,0.7484811664641555
ResNet50,LogGC,6,14,5e-05,1.094654817279661e-05,0.0013530630385503173,0.7120291616038882
ResNet50,LogGC,6,15,5e-05,1.0089967872772831e-05,0.001481423038057983,0.7217496962332929
ResNet50,LogGC,6,16,5e-05,1.0258999282086734e-05,0.0012839941773563623,0.7509113001215066
ResNet50,LogGC,6,17,5e-05,8.535484994354192e-06,0.0013647704618051648,0.7363304981773997
ResNet50,LogGC,6,18,5e-05,1.0099563951371238e-05,0.0012090959353372455,0.7448359659781288
ResNet50,LogGC,6,19,5e-05,8.428834007645492e-06,0.001428998657502234,0.7424058323207776
ResNet50,LogGC,6,20,5e-05,8.209171937778592e-06,0.0014660117449238896,0.7083839611178615
ResNet50,LogGC,7,1,5e-05,0.00018691568402573466,0.0014195983530953526,0.6002386634844868
ResNet50,LogGC,7,2,5e-05,9.313095506513491e-05,0.0011457873042672873,0.6897374701670644
ResNet50,LogGC,7,3,5e-05,6.062459942768328e-05,0.0011720797047019005,0.720763723150358
ResNet50,LogGC,7,4,5e-05,4.62641692138277e-05,0.0011913159396499395,0.7016706443914081
ResNet50,LogGC,7,5,5e-05,3.637082772911526e-05,0.0011593853123486042,0.7350835322195705
ResNet50,LogGC,7,6,5e-05,2.8091881176806055e-05,0.0012375327059999108,0.7004773269689738
ResNet50,LogGC,7,7,5e-05,2.3464970581699163e-05,0.0013825703645125031,0.7267303102625299
ResNet50,LogGC,7,8,5e-05,2.0243933249730617e-05,0.0012872206280007958,0.7267303102625299
ResNet50,LogGC,7,9,5e-05,1.779811100277584e-05,0.001390610239468515,0.7088305489260143
ResNet50,LogGC,7,10,5e-05,1.5161299415922258e-05,0.0016000826144590974,0.698090692124105
ResNet50,LogGC,7,11,5e-05,1.3139086149749346e-05,0.001614443608559668,0.7219570405727923
ResNet50,LogGC,7,12,5e-05,1.2718786820187233e-05,0.0015630358830094337,0.7195704057279236
