Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
ResNet50,approxGT,1,1,5e-05,0.00017766124801710248,0.0010477850446477532,0.661697247706422
ResNet50,approxGT,1,2,5e-05,7.824449130566791e-05,0.0008005929412320256,0.7580275229357798
ResNet50,approxGT,1,3,5e-05,5.018246520194225e-05,0.0009712614119052887,0.7155963302752294
ResNet50,approxGT,1,4,5e-05,3.4474782296456397e-05,0.0011116357054561377,0.7224770642201835
ResNet50,approxGT,1,5,5e-05,2.757988295343239e-05,0.0012130123795941472,0.7247706422018348
ResNet50,approxGT,1,6,5e-05,2.2371727027348243e-05,0.0011201293673366308,0.716743119266055
ResNet50,approxGT,1,7,5e-05,1.8595552319311537e-05,0.0011880096280947328,0.7087155963302753
ResNet50,approxGT,1,8,5e-05,1.51398780872114e-05,0.0011427735444158316,0.7305045871559633
ResNet50,approxGT,1,9,5e-05,1.3437585039355326e-05,0.0012569059617817402,0.7350917431192661
ResNet50,approxGT,1,10,5e-05,1.267181596631417e-05,0.0011904719285666943,0.7305045871559633
ResNet50,approxGT,1,11,5e-05,1.2610120393219404e-05,0.0012632174184545875,0.7878440366972477
ResNet50,approxGT,1,12,5e-05,9.912097084452398e-06,0.0012078657746315002,0.7545871559633027
ResNet50,approxGT,1,13,5e-05,8.630910997453611e-06,0.0012291641905903816,0.7568807339449541
ResNet50,approxGT,1,14,5e-05,8.633477591502015e-06,0.001151060569100082,0.7545871559633027
ResNet50,approxGT,1,15,5e-05,8.179264114005491e-06,0.001225880580022931,0.768348623853211
ResNet50,approxGT,1,16,5e-05,8.03115835878998e-06,0.0012113272678107023,0.7603211009174312
ResNet50,approxGT,1,17,5e-05,7.27638553144061e-06,0.0013075474416837096,0.7293577981651376
ResNet50,approxGT,1,18,5e-05,7.369289505732013e-06,0.0010279465932399035,0.7717889908256881
ResNet50,approxGT,1,19,5e-05,6.531348844873719e-06,0.0010889119002968073,0.7763761467889908
ResNet50,approxGT,1,20,5e-05,6.254954769246979e-06,0.0011959135299548507,0.7568807339449541
ResNet50,approxGT,2,1,5e-05,0.00017692046822048724,0.0011428245343267918,0.6790540540540541
ResNet50,approxGT,2,2,5e-05,8.137155236909166e-05,0.000989560387097299,0.7308558558558559
ResNet50,approxGT,2,3,5e-05,5.184522888157517e-05,0.000806824245955795,0.7725225225225225
ResNet50,approxGT,2,4,5e-05,3.635624671005644e-05,0.0009374783840030432,0.7691441441441441
ResNet50,approxGT,2,5,5e-05,2.7511967346072197e-05,0.001090889098122716,0.7488738738738738
ResNet50,approxGT,2,6,5e-05,2.3020331354928203e-05,0.0010104847606271505,0.7477477477477478
ResNet50,approxGT,2,7,5e-05,1.8970942619489506e-05,0.0011073073837906122,0.740990990990991
ResNet50,approxGT,2,8,5e-05,1.5029020687507e-05,0.0012407790636643767,0.7274774774774775
ResNet50,approxGT,2,9,5e-05,1.243388578586746e-05,0.0009433363447897136,0.777027027027027
ResNet50,approxGT,2,10,5e-05,1.2029615390929393e-05,0.0010936559410765767,0.7725225225225225
ResNet50,approxGT,2,11,5e-05,1.0727956578193698e-05,0.001346499309875071,0.7150900900900901
ResNet50,approxGT,2,12,5e-05,8.96231176739093e-06,0.0012034130049869418,0.7477477477477478
ResNet50,approxGT,2,13,5e-05,8.389914910367224e-06,0.001612279680557549,0.6993243243243243
ResNet50,approxGT,2,14,5e-05,8.525397788616829e-06,0.001323845935985446,0.7240990990990991
ResNet50,approxGT,2,15,5e-05,9.049860636878293e-06,0.0013424280332401395,0.7218468468468469
ResNet50,approxGT,2,16,5e-05,7.699076377321035e-06,0.0015633682487532496,0.7150900900900901
ResNet50,approxGT,2,17,5e-05,6.938809292478254e-06,0.0013549142749980092,0.7466216216216216
ResNet50,approxGT,2,18,5e-05,7.179518433986232e-06,0.0012833239743486047,0.7308558558558559
ResNet50,approxGT,2,19,5e-05,7.140532488847384e-06,0.0010814558481797576,0.7646396396396397
ResNet50,approxGT,2,20,5e-05,5.8818718571274076e-06,0.0014365187380462885,0.7286036036036037
ResNet50,approxGT,3,1,5e-05,0.00017657881835475564,0.001743098022416234,0.44324324324324327
