Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
SqueezeNet,Cochleagram,1,1,5e-05,0.00030505633912980556,0.0015390029875561595,0.6146788990825688
SqueezeNet,Cochleagram,1,2,5e-05,0.00016673932259436697,0.0012826075544580817,0.6743119266055045
SqueezeNet,Cochleagram,1,3,5e-05,0.00013241084525361657,0.0012305522104725242,0.6651376146788991
SqueezeNet,Cochleagram,1,4,5e-05,0.0001102588139474392,0.0012253611348569393,0.676605504587156
SqueezeNet,Cochleagram,1,5,5e-05,9.552565461490303e-05,0.0014392394805327058,0.6571100917431193
SqueezeNet,Cochleagram,1,6,5e-05,8.516360685462132e-05,0.0011354960734024644,0.713302752293578
SqueezeNet,Cochleagram,1,7,5e-05,7.737125270068645e-05,0.0012912420788779855,0.6961009174311926
SqueezeNet,Cochleagram,1,8,5e-05,6.880141154397279e-05,0.0012200712226331234,0.7236238532110092
SqueezeNet,Cochleagram,1,9,5e-05,6.324725836748257e-05,0.0013342095771804452,0.7098623853211009
SqueezeNet,Cochleagram,1,10,5e-05,5.8732428442453966e-05,0.0012684175744652748,0.7064220183486238
SqueezeNet,Cochleagram,1,11,5e-05,5.449777017929591e-05,0.0013654280919581652,0.7041284403669725
SqueezeNet,Cochleagram,1,12,5e-05,4.895900565315969e-05,0.001633334206417203,0.7006880733944955
SqueezeNet,Cochleagram,1,13,5e-05,4.6560911869164556e-05,0.001940287766046822,0.7029816513761468
SqueezeNet,Cochleagram,1,14,5e-05,4.5577129640150815e-05,0.0020297367591410875,0.7052752293577982
SqueezeNet,Cochleagram,1,15,5e-05,4.270154022378847e-05,0.0019995435141026974,0.7190366972477065
SqueezeNet,Cochleagram,1,16,5e-05,4.0715240174904466e-05,0.0019227145239710808,0.6903669724770642
SqueezeNet,Cochleagram,1,17,5e-05,3.6052431823918596e-05,0.001965912524610758,0.694954128440367
SqueezeNet,Cochleagram,1,18,5e-05,3.455921614659019e-05,0.001831610919907689,0.6995412844036697
SqueezeNet,Cochleagram,1,19,5e-05,3.726818977156654e-05,0.0022102619986981153,0.7110091743119266
SqueezeNet,Cochleagram,1,20,5e-05,3.245794869144447e-05,0.001422578701749444,0.7098623853211009
SqueezeNet,Cochleagram,2,1,5e-05,0.00027619965840131044,0.0017096447991207242,0.4752252252252252
SqueezeNet,Cochleagram,2,2,5e-05,0.0001720099535305053,0.0014762458158656955,0.5788288288288288
SqueezeNet,Cochleagram,2,3,5e-05,0.00014030693273525685,0.0014810841530561447,0.5990990990990991
SqueezeNet,Cochleagram,2,4,5e-05,0.0001194545766338706,0.0014377277111634612,0.6103603603603603
SqueezeNet,Cochleagram,2,5,5e-05,0.00010558887879597023,0.0014001227682456374,0.6193693693693694
SqueezeNet,Cochleagram,2,6,5e-05,9.476541890762746e-05,0.0016815441194921732,0.6013513513513513
SqueezeNet,Cochleagram,2,7,5e-05,8.402990351896733e-05,0.001589323626831174,0.6295045045045045
SqueezeNet,Cochleagram,2,8,5e-05,7.683235162403435e-05,0.0015472688246518373,0.6193693693693694
SqueezeNet,Cochleagram,2,9,5e-05,7.017208554316312e-05,0.001507713459432125,0.6587837837837838
SqueezeNet,Cochleagram,2,10,5e-05,6.356002995744348e-05,0.0020324797369539738,0.6171171171171171
SqueezeNet,Cochleagram,2,11,5e-05,6.10003771726042e-05,0.0016876664012670517,0.6407657657657657
SqueezeNet,Cochleagram,2,12,5e-05,5.577750562224537e-05,0.001700510852970183,0.6644144144144144
SqueezeNet,Cochleagram,2,13,5e-05,4.9740614485926926e-05,0.0016251866472885013,0.6463963963963963
SqueezeNet,Cochleagram,2,14,5e-05,4.8818750656209886e-05,0.001595198642462492,0.6880630630630631
SqueezeNet,Cochleagram,2,15,5e-05,4.520255606621504e-05,0.0017224783077836037,0.6351351351351351
SqueezeNet,Cochleagram,2,16,5e-05,4.390743197291158e-05,0.0017158922273665667,0.6362612612612613
SqueezeNet,Cochleagram,2,17,5e-05,4.122133759665303e-05,0.0016521653160452843,0.6621621621621622
SqueezeNet,Cochleagram,2,18,5e-05,3.7515099393203855e-05,0.001678860280662775,0.6621621621621622
SqueezeNet,Cochleagram,2,19,5e-05,3.6562414607033134e-05,0.0019348430214449763,0.6801801801801802
SqueezeNet,Cochleagram,2,20,5e-05,3.444948742981069e-05,0.0017657162388786674,0.6768018018018018
SqueezeNet,Cochleagram,3,1,5e-05,0.0002712614368647337,0.0016599580412730575,0.5102702702702703
SqueezeNet,Cochleagram,3,2,5e-05,0.00015883777814451605,0.0015795425279065967,0.5513513513513514
SqueezeNet,Cochleagram,3,3,5e-05,0.0001335859706159681,0.0013956541661173105,0.6205405405405405
SqueezeNet,Cochleagram,3,4,5e-05,0.00010843846393981948,0.0013885213993489742,0.6345945945945946
SqueezeNet,Cochleagram,3,5,5e-05,9.680823859525844e-05,0.001404789974913001,0.6172972972972973
SqueezeNet,Cochleagram,3,6,5e-05,8.584939496358857e-05,0.0013073295122012496,0.6367567567567568
SqueezeNet,Cochleagram,3,7,5e-05,7.821969484211877e-05,0.0011363456724211574,0.6518918918918919
SqueezeNet,Cochleagram,3,8,5e-05,7.091323641361669e-05,0.0014054764760658145,0.6129729729729729
SqueezeNet,Cochleagram,3,9,5e-05,6.498339644167572e-05,0.0011526508023962379,0.6313513513513513
SqueezeNet,Cochleagram,3,10,5e-05,5.987457916489802e-05,0.0014969516778364778,0.6172972972972973
SqueezeNet,Cochleagram,3,11,5e-05,5.906172009417787e-05,0.0012878149282187223,0.6367567567567568
SqueezeNet,Cochleagram,3,12,5e-05,5.129246346768923e-05,0.0017094610957428813,0.6021621621621621
SqueezeNet,Cochleagram,3,13,5e-05,5.083072028355673e-05,0.0012249373830854893,0.6767567567567567
SqueezeNet,Cochleagram,3,14,5e-05,4.731598892249167e-05,0.0012166023952886462,0.6518918918918919
SqueezeNet,Cochleagram,3,15,5e-05,4.483821976464242e-05,0.0014182457234710455,0.6291891891891892
SqueezeNet,Cochleagram,3,16,5e-05,4.028327748528682e-05,0.0015675786416977644,0.6162162162162163
SqueezeNet,Cochleagram,3,17,5e-05,4.069819624419324e-05,0.0013883323408663273,0.6659459459459459
SqueezeNet,Cochleagram,3,18,5e-05,4.007251118309796e-05,0.001258627511560917,0.7048648648648649
SqueezeNet,Cochleagram,3,19,5e-05,3.774729339056648e-05,0.0011587912449613214,0.6994594594594594
SqueezeNet,Cochleagram,3,20,5e-05,3.423335510888137e-05,0.0015609548427164555,0.6518918918918919
SqueezeNet,Cochleagram,4,1,5e-05,0.000330104841850698,0.0014830059371888638,0.5060606060606061
SqueezeNet,Cochleagram,4,2,5e-05,0.0001720039581414312,0.0013033365830779076,0.593939393939394
SqueezeNet,Cochleagram,4,3,5e-05,0.000144324847497046,0.0012731372844427824,0.6131313131313131
SqueezeNet,Cochleagram,4,4,5e-05,0.00012412664364092052,0.001101590460166335,0.6393939393939394
SqueezeNet,Cochleagram,4,5,5e-05,0.00010926753748208284,0.0010805937927216291,0.6656565656565656
SqueezeNet,Cochleagram,4,6,5e-05,9.708826837595552e-05,0.001109334989450872,0.6505050505050505
SqueezeNet,Cochleagram,4,7,5e-05,8.628203795524314e-05,0.0012033871607854962,0.703030303030303
SqueezeNet,Cochleagram,4,8,5e-05,8.045516005950049e-05,0.0010050719138234854,0.6878787878787879
SqueezeNet,Cochleagram,4,9,5e-05,7.250904309330508e-05,0.0010370357194915414,0.7070707070707071
SqueezeNet,Cochleagram,4,10,5e-05,6.935347482794896e-05,0.0009886580519378185,0.7202020202020202
SqueezeNet,Cochleagram,4,11,5e-05,6.26119363005273e-05,0.0011640151496976614,0.6878787878787879
SqueezeNet,Cochleagram,4,12,5e-05,5.6772303651086986e-05,0.001147695118561387,0.7191919191919192
SqueezeNet,Cochleagram,4,13,5e-05,5.650847379001789e-05,0.0012073301477357745,0.7202020202020202
SqueezeNet,Cochleagram,4,14,5e-05,5.5753309425199404e-05,0.0010097528574988246,0.7505050505050505
SqueezeNet,Cochleagram,4,15,5e-05,4.7826288209762424e-05,0.0010989427100867033,0.7343434343434343
SqueezeNet,Cochleagram,4,16,5e-05,4.5022854465059936e-05,0.0010727286571636796,0.7343434343434343
SqueezeNet,Cochleagram,4,17,5e-05,4.4101579987909645e-05,0.0012252215528860688,0.7181818181818181
SqueezeNet,Cochleagram,4,18,5e-05,4.27084814873524e-05,0.0012722284300252795,0.7555555555555555
SqueezeNet,Cochleagram,4,19,5e-05,3.8035785109968856e-05,0.0012192137073725462,0.7686868686868686
SqueezeNet,Cochleagram,4,20,5e-05,3.961336551583372e-05,0.0013243850553408265,0.7414141414141414
SqueezeNet,Cochleagram,5,1,5e-05,0.000266656483290717,0.0014376519247889519,0.5475935828877005
SqueezeNet,Cochleagram,5,2,5e-05,0.00016643172421026975,0.001158313942141831,0.6417112299465241
SqueezeNet,Cochleagram,5,3,5e-05,0.00014236966671887785,0.0011163756716996431,0.6727272727272727
SqueezeNet,Cochleagram,5,4,5e-05,0.0001235383824678138,0.0008921137196011841,0.7283422459893049
SqueezeNet,Cochleagram,5,5,5e-05,0.00010549186845310032,0.0009346121223643422,0.681283422459893
SqueezeNet,Cochleagram,5,6,5e-05,9.494574624113739e-05,0.0008352386066690087,0.7304812834224599
SqueezeNet,Cochleagram,5,7,5e-05,8.489076572004706e-05,0.0009151807171292603,0.760427807486631
SqueezeNet,Cochleagram,5,8,5e-05,7.863580685807392e-05,0.0008863038965500891,0.7240641711229947
SqueezeNet,Cochleagram,5,9,5e-05,7.296039257198572e-05,0.0008785704267211258,0.7240641711229947
SqueezeNet,Cochleagram,5,10,5e-05,6.880579167045653e-05,0.0007023884099908173,0.7914438502673797
SqueezeNet,Cochleagram,5,11,5e-05,6.005933755659498e-05,0.0007144664414227009,0.8032085561497326
SqueezeNet,Cochleagram,5,12,5e-05,6.0510483308462426e-05,0.0007678081165067852,0.8010695187165775
SqueezeNet,Cochleagram,5,13,5e-05,5.576586409006268e-05,0.000679267686791718,0.8010695187165775
SqueezeNet,Cochleagram,5,14,5e-05,4.9678485083859414e-05,0.0008662703330628574,0.7732620320855615
SqueezeNet,Cochleagram,5,15,5e-05,4.992735557607375e-05,0.0007467242539860308,0.7732620320855615
SqueezeNet,Cochleagram,5,16,5e-05,4.7221637942129746e-05,0.0007117574568837881,0.7957219251336899
SqueezeNet,Cochleagram,5,17,5e-05,4.2381765524623916e-05,0.0007217743550427258,0.8074866310160428
SqueezeNet,Cochleagram,5,18,5e-05,4.517736306297593e-05,0.0006346666486933827,0.8192513368983957
SqueezeNet,Cochleagram,5,19,5e-05,4.1071747546084225e-05,0.0006924867047928274,0.8032085561497326
SqueezeNet,Cochleagram,5,20,5e-05,3.898231079801917e-05,0.0008687955560162663,0.788235294117647
SqueezeNet,Cochleagram,6,1,5e-05,0.00028245290741324425,0.0018128822557628155,0.4580801944106926
SqueezeNet,Cochleagram,6,2,5e-05,0.00017085651052184403,0.0015562184853479266,0.5965978128797084
SqueezeNet,Cochleagram,6,3,5e-05,0.00014114496298134327,0.0015553290722891688,0.5613608748481167
SqueezeNet,Cochleagram,6,4,5e-05,0.00012133876589359716,0.0012684394605457783,0.6658566221142163
SqueezeNet,Cochleagram,6,5,5e-05,0.0001053970045177266,0.0014752424322068691,0.6500607533414338
SqueezeNet,Cochleagram,6,6,5e-05,9.172296267934144e-05,0.0012569631217047572,0.6938031591737546
SqueezeNet,Cochleagram,6,7,5e-05,8.288776007248089e-05,0.0014438687358051538,0.6476306196840826
SqueezeNet,Cochleagram,6,8,5e-05,7.561650272691622e-05,0.001280915574170649,0.6585662211421628
SqueezeNet,Cochleagram,6,9,5e-05,6.978742021601647e-05,0.001132122939452529,0.7095990279465371
SqueezeNet,Cochleagram,6,10,5e-05,6.479041621787474e-05,0.0012516174465417862,0.724179829890644
SqueezeNet,Cochleagram,6,11,5e-05,5.9495727327885106e-05,0.0012340565444901586,0.6974483596597812
SqueezeNet,Cochleagram,6,12,5e-05,5.6768512877169997e-05,0.001509775989688933,0.6670716889428918
SqueezeNet,Cochleagram,6,13,5e-05,4.967893619323149e-05,0.0015010453062132,0.7059538274605103
SqueezeNet,Cochleagram,6,14,5e-05,4.7129859012784436e-05,0.0018996377475559711,0.6767922235722965
SqueezeNet,Cochleagram,6,15,5e-05,4.673449438996613e-05,0.0016061094356700778,0.6950182260024301
SqueezeNet,Cochleagram,6,16,5e-05,4.2394101910758764e-05,0.0017463783733546734,0.6792223572296476
SqueezeNet,Cochleagram,6,17,5e-05,4.087179331691004e-05,0.002069717738777399,0.6707168894289186
SqueezeNet,Cochleagram,6,18,5e-05,3.7930436519673094e-05,0.00175610207952559,0.660996354799514
SqueezeNet,Cochleagram,6,19,5e-05,3.865178950945847e-05,0.0017137541435658932,0.6913730255164034
SqueezeNet,Cochleagram,6,20,5e-05,3.314121931907721e-05,0.001948852208442986,0.7095990279465371
SqueezeNet,Cochleagram,7,1,5e-05,0.0003192391886841506,0.0017892735777422786,0.5202863961813843
SqueezeNet,Cochleagram,7,2,5e-05,0.00017367601685691625,0.0016700768610462546,0.5202863961813843
SqueezeNet,Cochleagram,7,3,5e-05,0.00014560959243681282,0.001495870528742671,0.5727923627684964
SqueezeNet,Cochleagram,7,4,5e-05,0.00012918695574626327,0.0014915071660652757,0.636038186157518
SqueezeNet,Cochleagram,7,5,5e-05,0.00011399089999031276,0.001547830062918365,0.6336515513126492
SqueezeNet,Cochleagram,7,6,5e-05,0.00010028948599938303,0.001128000789321959,0.6813842482100239
SqueezeNet,Cochleagram,7,7,5e-05,9.222965309163556e-05,0.0012310758465901017,0.6921241050119332
SqueezeNet,Cochleagram,7,8,5e-05,8.447820437140763e-05,0.0012554986169561744,0.7076372315035799
SqueezeNet,Cochleagram,7,9,5e-05,7.802092295605689e-05,0.0012950246455147862,0.7016706443914081
SqueezeNet,Cochleagram,7,10,5e-05,7.081308285705745e-05,0.0014124709414318204,0.5835322195704057
SqueezeNet,Cochleagram,7,11,5e-05,6.60652804072015e-05,0.0013373394031077623,0.6682577565632458
SqueezeNet,Cochleagram,7,12,5e-05,6.0265909269219264e-05,0.0011424223193898797,0.6933174224343676
SqueezeNet,Cochleagram,7,13,5e-05,5.8693425671663135e-05,0.0014856306370347738,0.6706443914081146
SqueezeNet,Cochleagram,7,14,5e-05,5.519810292753391e-05,0.0016756118275225163,0.6408114558472554
SqueezeNet,Cochleagram,7,15,5e-05,4.958686258760281e-05,0.0015321638202294707,0.7028639618138425
SqueezeNet,Cochleagram,7,16,5e-05,4.645672379410826e-05,0.001252192654646933,0.6718377088305489
SqueezeNet,Cochleagram,7,17,5e-05,4.5902128476882353e-05,0.0014598362613469362,0.684964200477327
SqueezeNet,Cochleagram,7,18,5e-05,4.423927020980045e-05,0.0014707797672599554,0.6587112171837709
SqueezeNet,Cochleagram,7,19,5e-05,4.1883857193170115e-05,0.0014115925878286362,0.7279236276849642
SqueezeNet,Cochleagram,7,20,5e-05,3.841271245619282e-05,0.0018753131153061986,0.665871121718377
SqueezeNet,Cochleagram,8,1,5e-05,0.00026869308203458786,0.0020526477601379156,0.5269086357947435
SqueezeNet,Cochleagram,8,2,5e-05,0.00015374475333373994,0.0021481395233422518,0.6007509386733417
SqueezeNet,Cochleagram,8,3,5e-05,0.00012538173177745193,0.0019574803300201893,0.6470588235294118
SqueezeNet,Cochleagram,8,4,5e-05,0.00010570629092399031,0.001994093880057335,0.6257822277847309
SqueezeNet,Cochleagram,8,5,5e-05,9.159106411971152e-05,0.0023116017691791058,0.6758448060075094
SqueezeNet,Cochleagram,8,6,5e-05,8.247051300713792e-05,0.0024118185974657536,0.6645807259073843
SqueezeNet,Cochleagram,8,7,5e-05,7.262520375661552e-05,0.002521960064768791,0.6758448060075094
SqueezeNet,Cochleagram,8,8,5e-05,6.769331230316311e-05,0.0027726853732019663,0.6996245306633292
SqueezeNet,Cochleagram,8,9,5e-05,6.30406429991126e-05,0.00234574219211936,0.7133917396745932
SqueezeNet,Cochleagram,8,10,5e-05,5.542039070860483e-05,0.0028666856233030558,0.6470588235294118
SqueezeNet,Cochleagram,8,11,5e-05,5.485056681209244e-05,0.002329738810658455,0.6195244055068836
SqueezeNet,Cochleagram,8,12,5e-05,5.0899514462798834e-05,0.0025069608818739653,0.6733416770963705
SqueezeNet,Cochleagram,8,13,5e-05,4.6267738071037456e-05,0.0027693500742316246,0.6896120150187734
SqueezeNet,Cochleagram,8,14,5e-05,4.256819011061452e-05,0.0027184358332306147,0.6658322903629537
SqueezeNet,Cochleagram,8,15,5e-05,3.967057273257524e-05,0.002989917527884245,0.6933667083854819
SqueezeNet,Cochleagram,8,16,5e-05,3.991767152911052e-05,0.0026202350854873657,0.688360450563204
SqueezeNet,Cochleagram,8,17,5e-05,3.68029905075673e-05,0.0037949783727526665,0.688360450563204
SqueezeNet,Cochleagram,8,18,5e-05,3.500629827613011e-05,0.0035887151025235653,0.6833541927409261
SqueezeNet,Cochleagram,8,19,5e-05,3.362790448591113e-05,0.0036823591217398643,0.6821026282853567
SqueezeNet,Cochleagram,8,20,5e-05,3.1443789339391515e-05,0.004173181019723415,0.6545682102628285
SqueezeNet,Cochleagram,9,1,5e-05,0.00029314521816559136,0.0022274376824498177,0.6225490196078431
SqueezeNet,Cochleagram,9,2,5e-05,0.00015778385568410158,0.002213516039773822,0.6727941176470589
SqueezeNet,Cochleagram,9,3,5e-05,0.00012625129602383822,0.0025857819709926844,0.6997549019607843
SqueezeNet,Cochleagram,9,4,5e-05,0.00010431904229335487,0.0025781046133488417,0.6875
SqueezeNet,Cochleagram,9,5,5e-05,9.467349445912987e-05,0.001753813587129116,0.7389705882352942
SqueezeNet,Cochleagram,9,6,5e-05,8.31141514936462e-05,0.002424477366730571,0.7389705882352942
SqueezeNet,Cochleagram,9,7,5e-05,7.442472269758582e-05,0.003064363030716777,0.7328431372549019
SqueezeNet,Cochleagram,9,8,5e-05,6.581690104212612e-05,0.002693651244044304,0.7647058823529411
SqueezeNet,Cochleagram,9,9,5e-05,6.289916927926242e-05,0.0025483437348157167,0.758578431372549
SqueezeNet,Cochleagram,9,10,5e-05,5.81366584810894e-05,0.0029118829406797886,0.7671568627450981
SqueezeNet,Cochleagram,9,11,5e-05,5.16440522915218e-05,0.002561665838584304,0.7745098039215687
SqueezeNet,Cochleagram,9,12,5e-05,5.2538456657202914e-05,0.0024893884547054768,0.7573529411764706
SqueezeNet,Cochleagram,9,13,5e-05,4.5256998419063166e-05,0.002969788620248437,0.7659313725490197
SqueezeNet,Cochleagram,9,14,5e-05,4.328124123276211e-05,0.0028044574428349733,0.7659313725490197
SqueezeNet,Cochleagram,9,15,5e-05,4.133823676966131e-05,0.003066313685849309,0.7622549019607843
SqueezeNet,Cochleagram,9,16,5e-05,3.9388272853102535e-05,0.002952780807390809,0.75
SqueezeNet,Cochleagram,9,17,5e-05,3.6109224311076105e-05,0.002860398730263114,0.7781862745098039
SqueezeNet,Cochleagram,9,18,5e-05,3.6563575122272596e-05,0.0026937315706163645,0.7708333333333334
SqueezeNet,Cochleagram,9,19,5e-05,3.107521479250863e-05,0.0023317940067499876,0.7757352941176471
SqueezeNet,Cochleagram,9,20,5e-05,3.2323096093023196e-05,0.003908477257937193,0.7647058823529411
SqueezeNet,Cochleagram,10,1,5e-05,0.00028960881172679365,0.0017179070273414254,0.5256869772998806
SqueezeNet,Cochleagram,10,2,5e-05,0.0001652092469157651,0.0011746129021048546,0.6941457586618877
SqueezeNet,Cochleagram,10,3,5e-05,0.00013022602070122957,0.0010613416088744998,0.7168458781362007
SqueezeNet,Cochleagram,10,4,5e-05,0.0001134409467340447,0.0010492510627955198,0.7240143369175627
SqueezeNet,Cochleagram,10,5,5e-05,9.876346302917227e-05,0.0008963935542851686,0.7598566308243727
SqueezeNet,Cochleagram,10,6,5e-05,8.728994725970551e-05,0.0010215892689302564,0.7467144563918757
SqueezeNet,Cochleagram,10,7,5e-05,7.696328975725919e-05,0.000886000576429069,0.7550776583034647
SqueezeNet,Cochleagram,10,8,5e-05,7.075290341163054e-05,0.0009269113070331514,0.7598566308243727
SqueezeNet,Cochleagram,10,9,5e-05,6.578553438885137e-05,0.0009320331737399101,0.7502986857825568
SqueezeNet,Cochleagram,10,10,5e-05,5.936755769653246e-05,0.000957801821641624,0.7431302270011948
SqueezeNet,Cochleagram,10,11,5e-05,5.628439612337388e-05,0.0008841378148645163,0.7741935483870968
SqueezeNet,Cochleagram,10,12,5e-05,5.3260398999555036e-05,0.001166507601737976,0.7825567502986858
SqueezeNet,Cochleagram,10,13,5e-05,5.107624383526854e-05,0.0009271555463783443,0.7706093189964157
SqueezeNet,Cochleagram,10,14,5e-05,4.618111051968299e-05,0.0011774065205827355,0.7729988052568698
SqueezeNet,Cochleagram,10,15,5e-05,4.430987610248849e-05,0.0010225481819361448,0.7670250896057348
SqueezeNet,Cochleagram,10,16,5e-05,4.138364238315262e-05,0.0012603714130818844,0.7718040621266428
SqueezeNet,Cochleagram,10,17,5e-05,4.161736069363542e-05,0.0009349556639790535,0.8100358422939068
SqueezeNet,Cochleagram,10,18,5e-05,3.593561996240169e-05,0.00118542299605906,0.7897252090800478
SqueezeNet,Cochleagram,10,19,5e-05,3.553823262336664e-05,0.0011598786804825068,0.7813620071684588
SqueezeNet,Cochleagram,10,20,5e-05,3.3769789297366515e-05,0.0011340201599523425,0.7610513739545998
