Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
SqueezeNet,LinGC,1,precision,0.42105263157894735,0.7,0.9072164948453608,0.7685185185185185,0.5578947368421052,0.6944444444444444,0.8292682926829268,0.567741935483871,0.8260869565217391,0.780952380952381,0.7053176391870294,0.6915817680822829
SqueezeNet,LinGC,1,recall,0.24,0.9722222222222222,0.88,0.83,0.53,0.5208333333333334,0.9714285714285714,0.7394957983193278,0.8837209302325582,0.82,0.7387700855536012,0.7029816513761468
SqueezeNet,LinGC,1,f1-score,0.3057324840764331,0.813953488372093,0.8934010152284264,0.798076923076923,0.5435897435897435,0.5952380952380953,0.8947368421052632,0.6423357664233577,0.853932584269663,0.8,0.7140996942379998,0.690042600053509
SqueezeNet,LinGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
SqueezeNet,LinGC,2,precision,0.45714285714285713,0.6857142857142857,0.8053097345132744,0.8301886792452831,0.7368421052631579,0.4267515923566879,0.9714285714285714,0.6825396825396826,0.8333333333333334,0.8421052631578947,0.7271356104695027,0.7098785117184807
SqueezeNet,LinGC,2,recall,0.48,0.5714285714285714,0.91,0.88,0.7,0.67,0.9714285714285714,0.35833333333333334,0.7692307692307693,0.8,0.7110421245421246,0.6925675675675675
SqueezeNet,LinGC,2,f1-score,0.4682926829268293,0.6233766233766234,0.8544600938967136,0.8543689320388349,0.717948717948718,0.5214007782101168,0.9714285714285714,0.4699453551912568,0.8,0.8205128205128205,0.7101734575530484,0.6903982695474914
SqueezeNet,LinGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
SqueezeNet,LinGC,3,precision,0.4,0.6440677966101694,0.6518518518518519,0.9318181818181818,0.4968944099378882,0.48623853211009177,0.9,0.7804878048780488,0.978021978021978,0.7368421052631579,0.7006222660491368,0.6961148595103852
SqueezeNet,LinGC,3,recall,0.26,0.8837209302325582,0.88,0.82,0.8,0.4953271028037383,1.0,0.5333333333333333,0.7478991596638656,0.7,0.7120280526033496,0.6767567567567567
SqueezeNet,LinGC,3,f1-score,0.3151515151515152,0.7450980392156863,0.748936170212766,0.8723404255319149,0.6130268199233716,0.49074074074074076,0.9473684210526316,0.6336633663366336,0.8476190476190475,0.717948717948718,0.6931893263733026,0.6727571606565619
SqueezeNet,LinGC,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
SqueezeNet,LinGC,4,precision,0.7857142857142857,0.8444444444444444,0.6694915254237288,0.7372881355932204,0.7551020408163265,0.7555555555555555,0.8888888888888888,0.7476635514018691,0.9024390243902439,0.9014084507042254,0.7987995902932788,0.7968377701885131
SqueezeNet,LinGC,4,recall,0.77,0.6440677966101694,0.79,0.87,0.74,0.9532710280373832,0.8421052631578947,0.6666666666666666,0.891566265060241,0.64,0.7807677019532355,0.7888888888888889
SqueezeNet,LinGC,4,f1-score,0.7777777777777778,0.7307692307692307,0.7247706422018348,0.798165137614679,0.7474747474747474,0.8429752066115703,0.8648648648648649,0.7048458149779735,0.896969696969697,0.7485380116959065,0.7837151130958281,0.7872017128873823
SqueezeNet,LinGC,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
SqueezeNet,LinGC,5,precision,0.8125,0.975609756097561,0.8936170212765957,0.8315789473684211,0.8064516129032258,0.7637795275590551,0.9285714285714286,0.8309859154929577,0.9117647058823529,0.875,0.8629858915151598,0.8556566130566419
SqueezeNet,LinGC,5,recall,0.78,0.8163265306122449,0.84,0.79,0.7575757575757576,0.9065420560747663,0.975,0.9833333333333333,0.8732394366197183,0.84,0.856201711421582,0.8513368983957219
SqueezeNet,LinGC,5,f1-score,0.7959183673469388,0.888888888888889,0.8659793814432989,0.8102564102564104,0.7812499999999999,0.829059829059829,0.951219512195122,0.900763358778626,0.8920863309352517,0.8571428571428572,0.8572564936047222,0.8508796550557287
SqueezeNet,LinGC,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
SqueezeNet,LinGC,6,precision,0.5,0.8666666666666667,0.8588235294117647,0.9019607843137255,0.8514851485148515,0.5681818181818182,0.9782608695652174,0.7307692307692307,0.8125,0.6524822695035462,0.7721130316926821,0.7489120316875062
SqueezeNet,LinGC,6,recall,0.48,0.9285714285714286,0.73,0.92,0.86,0.7009345794392523,0.9782608695652174,0.27941176470588236,0.7027027027027027,0.92,0.7499881344984483,0.7387606318347509
SqueezeNet,LinGC,6,f1-score,0.4897959183673469,0.896551724137931,0.7891891891891891,0.9108910891089109,0.8557213930348259,0.6276150627615062,0.9782608695652174,0.4042553191489362,0.7536231884057971,0.7634854771784233,0.7469389230898084,0.7307704062252364
SqueezeNet,LinGC,6,support,100.0,28.0,100.0,100.0,100.0,107.0,46.0,68.0,74.0,100.0,823.0,823.0
SqueezeNet,LinGC,7,precision,0.4967741935483871,0.6,0.8673469387755102,0.9166666666666666,0.8478260869565217,0.656,0.9574468085106383,0.9393939393939394,0.9024390243902439,0.7387387387387387,0.7922632396980646,0.790910255339634
SqueezeNet,LinGC,7,recall,0.77,0.8571428571428571,0.85,0.88,0.78,0.7735849056603774,0.8823529411764706,0.40789473684210525,0.4805194805194805,0.82,0.7501494921341292,0.7505966587112172
SqueezeNet,LinGC,7,f1-score,0.6039215686274509,0.7058823529411764,0.8585858585858585,0.8979591836734694,0.8125,0.7099567099567099,0.9183673469387754,0.5688073394495412,0.6271186440677966,0.7772511848341231,0.7480350189074901,0.7498760439082547
SqueezeNet,LinGC,7,support,100.0,28.0,100.0,100.0,100.0,106.0,51.0,76.0,77.0,100.0,838.0,838.0
SqueezeNet,LinGC,8,precision,0.5742574257425742,0.6666666666666666,0.5877862595419847,0.75,0.7474747474747475,0.8192771084337349,0.6666666666666666,0.45454545454545453,0.703125,0.7425742574257426,0.6712373586497572,0.6757142630768774
SqueezeNet,LinGC,8,recall,0.58,0.6666666666666666,0.8279569892473119,0.81,0.74,0.7727272727272727,0.6,0.32051282051282054,0.5625,0.75,0.6630363749154072,0.6770963704630788
SqueezeNet,LinGC,8,f1-score,0.5771144278606964,0.6666666666666666,0.6875,0.7788461538461539,0.743718592964824,0.7953216374269007,0.631578947368421,0.3759398496240602,0.625,0.746268656716418,0.662795493247414,0.6718288659876168
SqueezeNet,LinGC,8,support,100.0,30.0,93.0,100.0,100.0,88.0,30.0,78.0,80.0,100.0,799.0,799.0
SqueezeNet,LinGC,9,precision,0.863013698630137,0.9393939393939394,0.9090909090909091,0.7350427350427351,0.8080808080808081,0.9882352941176471,0.9583333333333334,0.8131868131868132,0.963855421686747,0.7642276422764228,0.8742460594839491,0.8595403469879205
SqueezeNet,LinGC,9,recall,0.63,0.96875,0.8,0.86,0.8,0.9438202247191011,0.7419354838709677,0.9024390243902439,0.975609756097561,0.94,0.8562554489077874,0.8517156862745098
SqueezeNet,LinGC,9,f1-score,0.7283236994219653,0.9538461538461539,0.8510638297872342,0.7926267281105991,0.8040201005025126,0.9655172413793103,0.8363636363636364,0.8554913294797688,0.9696969696969697,0.8430493273542602,0.859999901594241,0.8504352857637966
SqueezeNet,LinGC,9,support,100.0,32.0,100.0,100.0,100.0,89.0,31.0,82.0,82.0,100.0,816.0,816.0
SqueezeNet,LinGC,10,precision,0.7432432432432432,0.6666666666666666,0.7363636363636363,0.948051948051948,0.7613636363636364,0.8764044943820225,0.9696969696969697,0.8823529411764706,0.7669902912621359,0.635036496350365,0.7986170323557094,0.7948720353319146
SqueezeNet,LinGC,10,recall,0.55,0.48484848484848486,0.81,0.73,0.67,0.8387096774193549,1.0,0.9375,0.9518072289156626,0.87,0.7842865391183503,0.7861409796893668
SqueezeNet,LinGC,10,f1-score,0.632183908045977,0.5614035087719298,0.7714285714285715,0.824858757062147,0.7127659574468085,0.8571428571428572,0.9846153846153847,0.9090909090909091,0.8494623655913979,0.7341772151898734,0.7837129434385857,0.7826377996960607
SqueezeNet,LinGC,10,support,100.0,33.0,100.0,100.0,100.0,93.0,32.0,96.0,83.0,100.0,837.0,837.0
