Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
SqueezeNet,LinGC,1,1,5e-05,0.0002748933620750904,0.0016862476477399468,0.49311926605504586
SqueezeNet,LinGC,1,2,5e-05,0.00015751636237837374,0.0013950987486168742,0.6158256880733946
SqueezeNet,LinGC,1,3,5e-05,0.0001207575187436305,0.0012572481064125896,0.6238532110091743
SqueezeNet,LinGC,1,4,5e-05,0.00010289644706062973,0.0012492927489802241,0.6869266055045872
SqueezeNet,LinGC,1,5,5e-05,8.687644731253386e-05,0.001671287463977933,0.6376146788990825
SqueezeNet,LinGC,1,6,5e-05,7.559547520941123e-05,0.0011976381065323949,0.6811926605504587
SqueezeNet,LinGC,1,7,5e-05,6.933174154255539e-05,0.0015150296967476606,0.6559633027522935
SqueezeNet,LinGC,1,8,5e-05,6.37770863249898e-05,0.0014680123422294855,0.6869266055045872
SqueezeNet,LinGC,1,9,5e-05,5.6412973208352923e-05,0.0012590634869411588,0.7110091743119266
SqueezeNet,LinGC,1,10,5e-05,5.0138751248596236e-05,0.0011548269540071487,0.7029816513761468
SqueezeNet,LinGC,1,11,5e-05,4.933819582220167e-05,0.0013442328199744225,0.7029816513761468
SqueezeNet,LinGC,1,12,5e-05,4.595936479745433e-05,0.001730831922031939,0.6961009174311926
SqueezeNet,LinGC,1,13,5e-05,4.117825301364064e-05,0.0015490322839468718,0.7018348623853211
SqueezeNet,LinGC,1,14,5e-05,3.8771417166572064e-05,0.0012964337365701795,0.7247706422018348
SqueezeNet,LinGC,1,15,5e-05,3.794906660914421e-05,0.0014511022018268704,0.7305045871559633
SqueezeNet,LinGC,1,16,5e-05,3.471851232461631e-05,0.0015623077051714063,0.7305045871559633
SqueezeNet,LinGC,1,17,5e-05,3.234664836782031e-05,0.001991672907024622,0.7236238532110092
SqueezeNet,LinGC,1,18,5e-05,3.218904021196067e-05,0.0018684485694393516,0.731651376146789
SqueezeNet,LinGC,1,19,5e-05,3.1681334803579375e-05,0.0017928361194208264,0.7385321100917431
SqueezeNet,LinGC,1,20,5e-05,2.883060005842708e-05,0.0015725253615528345,0.7568807339449541
SqueezeNet,LinGC,2,1,5e-05,0.0002831130987033248,0.001519632525742054,0.6036036036036037
SqueezeNet,LinGC,2,2,5e-05,0.0001549467269796878,0.0013652272755280137,0.6295045045045045
SqueezeNet,LinGC,2,3,5e-05,0.00011803083907580003,0.001260297023691237,0.6587837837837838
SqueezeNet,LinGC,2,4,5e-05,9.995422442443669e-05,0.001219806494191289,0.6542792792792793
SqueezeNet,LinGC,2,5,5e-05,8.691565744811669e-05,0.0010614804923534393,0.6925675675675675
SqueezeNet,LinGC,2,6,5e-05,7.855694275349379e-05,0.0013325277250260115,0.6779279279279279
SqueezeNet,LinGC,2,7,5e-05,6.873789970995858e-05,0.0012472317321226,0.6745495495495496
