Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
SqueezeNet,approxGT,1,precision,0.6276595744680851,0.5333333333333333,0.6571428571428571,0.6909090909090909,0.5918367346938775,0.9444444444444444,0.7333333333333333,0.8543689320388349,0.6470588235294118,0.7466666666666667,0.7026753790559935,0.7159080131393827
SqueezeNet,approxGT,1,recall,0.59,0.2222222222222222,0.92,0.76,0.58,0.8854166666666666,0.9428571428571428,0.7394957983193278,0.7674418604651163,0.56,0.6967433690530476,0.7121559633027523
SqueezeNet,approxGT,1,f1-score,0.6082474226804124,0.3137254901960784,0.7666666666666667,0.7238095238095238,0.5858585858585857,0.9139784946236558,0.8250000000000001,0.7927927927927928,0.7021276595744682,0.6400000000000001,0.6872206636202185,0.7053837088282056
SqueezeNet,approxGT,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
SqueezeNet,approxGT,2,precision,0.4144144144144144,0.5142857142857142,0.674074074074074,0.85,0.8,0.5514018691588785,0.868421052631579,0.7411764705882353,0.7865168539325843,0.7378640776699029,0.6938154526755381,0.6928878271985199
SqueezeNet,approxGT,2,recall,0.46,0.42857142857142855,0.91,0.85,0.68,0.59,0.9428571428571428,0.525,0.7692307692307693,0.76,0.691565934065934,0.6858108108108109
SqueezeNet,approxGT,2,f1-score,0.43601895734597157,0.4675324675324675,0.7744680851063829,0.85,0.7351351351351352,0.5700483091787439,0.904109589041096,0.6146341463414635,0.7777777777777778,0.7487684729064039,0.6878492940365442,0.6838490659446161
SqueezeNet,approxGT,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
SqueezeNet,approxGT,3,precision,0.4810126582278481,0.8717948717948718,0.6183206106870229,0.9,0.5394736842105263,0.45544554455445546,0.9473684210526315,0.6382978723404256,0.8461538461538461,0.6276595744680851,0.6925527083489713,0.6640646713999006
SqueezeNet,approxGT,3,recall,0.38,0.7906976744186046,0.81,0.72,0.82,0.42990654205607476,1.0,0.5,0.8319327731092437,0.59,0.6872536989583923,0.6562162162162162
SqueezeNet,approxGT,3,f1-score,0.42458100558659223,0.8292682926829267,0.7012987012987013,0.7999999999999999,0.6507936507936507,0.4423076923076923,0.972972972972973,0.5607476635514019,0.8389830508474577,0.6082474226804124,0.6829200452721809,0.6525765052997485
SqueezeNet,approxGT,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
SqueezeNet,approxGT,4,precision,0.7307692307692307,0.5510204081632653,0.7083333333333334,0.7777777777777778,0.7247706422018348,0.7520661157024794,1.0,0.6831683168316832,0.8554216867469879,0.6923076923076923,0.7475635203834285,0.745815499111704
SqueezeNet,approxGT,4,recall,0.76,0.4576271186440678,0.68,0.84,0.79,0.8504672897196262,0.8421052631578947,0.575,0.8554216867469879,0.72,0.7370621358268576,0.7474747474747475
SqueezeNet,approxGT,4,f1-score,0.7450980392156863,0.4999999999999999,0.6938775510204083,0.8076923076923077,0.7559808612440192,0.7982456140350879,0.9142857142857143,0.6244343891402716,0.8554216867469879,0.7058823529411765,0.740091851632166,0.7448892684371757
SqueezeNet,approxGT,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
SqueezeNet,approxGT,5,precision,0.7945205479452054,0.9104477611940298,0.8144329896907216,0.8105263157894737,0.7735849056603774,0.8817204301075269,0.9069767441860465,0.7894736842105263,0.5486725663716814,0.8125,0.8042855945155589,0.8056925365845263
SqueezeNet,approxGT,5,recall,0.58,0.6224489795918368,0.79,0.77,0.8282828282828283,0.7663551401869159,0.975,1.0,0.8732394366197183,0.78,0.7985326384681299,0.7893048128342246
SqueezeNet,approxGT,5,f1-score,0.6705202312138728,0.7393939393939395,0.802030456852792,0.7897435897435898,0.8,0.82,0.9397590361445783,0.8823529411764706,0.6739130434782609,0.7959183673469388,0.7913631605350443,0.7877458941713812
SqueezeNet,approxGT,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
SqueezeNet,approxGT,6,precision,0.417910447761194,0.5555555555555556,0.8450704225352113,0.8705882352941177,0.6764705882352942,0.5588235294117647,0.9166666666666666,0.5645161290322581,0.5471698113207547,0.7142857142857143,0.6667057100098531,0.6668609276942449
SqueezeNet,approxGT,6,recall,0.28,0.5357142857142857,0.6,0.74,0.92,0.5327102803738317,0.9565217391304348,0.5147058823529411,0.7837837837837838,0.85,0.6713435971355277,0.6658566221142163
SqueezeNet,approxGT,6,f1-score,0.3353293413173653,0.5454545454545454,0.7017543859649124,0.7999999999999999,0.7796610169491526,0.5454545454545454,0.9361702127659574,0.5384615384615384,0.6444444444444444,0.776255707762557,0.6602985738575018,0.6565060900695867
SqueezeNet,approxGT,6,support,100.0,28.0,100.0,100.0,100.0,107.0,46.0,68.0,74.0,100.0,823.0,823.0
SqueezeNet,approxGT,7,precision,0.549618320610687,0.7777777777777778,0.6724137931034483,0.8877551020408163,0.5813953488372093,0.5294117647058824,1.0,0.23684210526315788,0.9069767441860465,0.7207207207207207,0.6862911677245747,0.6657791917305669
