Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
SqueezeNet,approxGT,1,1,5e-05,0.00028404159820638597,0.001440544263459742,0.6158256880733946
SqueezeNet,approxGT,1,2,5e-05,0.00016626599244773388,0.00128364737611264,0.6605504587155964
SqueezeNet,approxGT,1,3,5e-05,0.0001340451999567449,0.0011684753699228168,0.6811926605504587
SqueezeNet,approxGT,1,4,5e-05,0.00011902103869942948,0.0010848389938473701,0.7121559633027523
SqueezeNet,approxGT,1,5,5e-05,0.00010557581117609516,0.0011468203738331795,0.7259174311926605
SqueezeNet,approxGT,1,6,5e-05,9.598080214345828e-05,0.0012580937473103404,0.7431192660550459
SqueezeNet,approxGT,1,7,5e-05,8.57544582686387e-05,0.0014195399126037955,0.7213302752293578
SqueezeNet,approxGT,1,8,5e-05,7.878709584474564e-05,0.0013676728121936321,0.6536697247706422
SqueezeNet,approxGT,1,9,5e-05,7.424895738949999e-05,0.0011287691304460168,0.7660550458715596
SqueezeNet,approxGT,1,10,5e-05,6.98404255672358e-05,0.0016130786389112473,0.7247706422018348
SqueezeNet,approxGT,1,11,5e-05,6.356704398058355e-05,0.0017698953161016107,0.676605504587156
SqueezeNet,approxGT,1,12,5e-05,6.017822670401074e-05,0.0012854841770604253,0.7408256880733946
SqueezeNet,approxGT,1,13,5e-05,5.684140705852769e-05,0.0016025528311729431,0.7064220183486238
SqueezeNet,approxGT,1,14,5e-05,5.646365025313571e-05,0.0018470651702955365,0.7201834862385321
SqueezeNet,approxGT,1,15,5e-05,5.194864570512436e-05,0.0018411482451483607,0.7178899082568807
SqueezeNet,approxGT,1,16,5e-05,5.031683758716099e-05,0.0013705163728445768,0.7339449541284404
SqueezeNet,approxGT,1,17,5e-05,4.547627759166062e-05,0.0018476643599569798,0.768348623853211
SqueezeNet,approxGT,1,18,5e-05,4.292037556297146e-05,0.0014763942454010248,0.7717889908256881
SqueezeNet,approxGT,1,19,5e-05,4.350411836639978e-05,0.001698124106042087,0.7259174311926605
SqueezeNet,approxGT,1,20,5e-05,3.9595608541276306e-05,0.0017132848734036088,0.7763761467889908
SqueezeNet,approxGT,2,1,5e-05,0.00028743967413902283,0.0017122529679909348,0.4403153153153153
SqueezeNet,approxGT,2,2,5e-05,0.0001807070802897215,0.0015245048562064767,0.5777027027027027
SqueezeNet,approxGT,2,3,5e-05,0.00015319672820623964,0.0014282050542533398,0.5574324324324325
SqueezeNet,approxGT,2,4,5e-05,0.0001319927250733599,0.001439369865693152,0.6227477477477478
SqueezeNet,approxGT,2,5,5e-05,0.00011848665599245578,0.0013767315540462732,0.6024774774774775
SqueezeNet,approxGT,2,6,5e-05,0.00010694019874790683,0.0015511047095060349,0.6024774774774775
SqueezeNet,approxGT,2,7,5e-05,9.791062620934099e-05,0.0012949223164469004,0.6317567567567568
SqueezeNet,approxGT,2,8,5e-05,9.02854444575496e-05,0.0012959837913513184,0.668918918918919
SqueezeNet,approxGT,2,9,5e-05,8.436007192358375e-05,0.0012121038744226098,0.6621621621621622
SqueezeNet,approxGT,2,10,5e-05,7.698203262407333e-05,0.0012364700669422746,0.6531531531531531
SqueezeNet,approxGT,2,11,5e-05,7.256898243213072e-05,0.0013827651273459196,0.6463963963963963
SqueezeNet,approxGT,2,12,5e-05,6.872879748698324e-05,0.0014492982299998403,0.6509009009009009
SqueezeNet,approxGT,2,13,5e-05,6.707474676659331e-05,0.0013897425960749388,0.661036036036036
SqueezeNet,approxGT,2,14,5e-05,6.0349608247634023e-05,0.001175532117486,0.6858108108108109
SqueezeNet,approxGT,2,15,5e-05,5.909613901167177e-05,0.0012441977160051465,0.6655405405405406
SqueezeNet,approxGT,2,16,5e-05,5.568827691604383e-05,0.0015131817199289799,0.6903153153153153
SqueezeNet,approxGT,2,17,5e-05,5.452732148114592e-05,0.0014300467446446419,0.6385135135135135
SqueezeNet,approxGT,2,18,5e-05,5.200372834224254e-05,0.0015352672198787332,0.6554054054054054
SqueezeNet,approxGT,2,19,5e-05,5.0344224291620776e-05,0.0015795737272128463,0.6509009009009009
SqueezeNet,approxGT,2,20,5e-05,4.710171197075397e-05,0.0016993570607155561,0.6554054054054054
SqueezeNet,approxGT,3,1,5e-05,0.0002944805019069463,0.001639504567719996,0.4627027027027027
SqueezeNet,approxGT,3,2,5e-05,0.00017106975428760052,0.0016128000570461154,0.5027027027027027
SqueezeNet,approxGT,3,3,5e-05,0.0001443805667804554,0.0013664637226611376,0.6043243243243244
SqueezeNet,approxGT,3,4,5e-05,0.00012270444130990654,0.001347805722616613,0.572972972972973
SqueezeNet,approxGT,3,5,5e-05,0.00011036840442102402,0.0013103020610287786,0.587027027027027
SqueezeNet,approxGT,3,6,5e-05,9.890926594380289e-05,0.0013990169391036034,0.56
SqueezeNet,approxGT,3,7,5e-05,9.227720875060186e-05,0.001309387618675828,0.6162162162162163
SqueezeNet,approxGT,3,8,5e-05,8.321899076690897e-05,0.0013861180050298572,0.587027027027027
SqueezeNet,approxGT,3,9,5e-05,7.590701716253534e-05,0.0013507099356502295,0.6378378378378379
SqueezeNet,approxGT,3,10,5e-05,7.167493458837271e-05,0.0013253832003101707,0.6583783783783784
SqueezeNet,approxGT,3,11,5e-05,6.893483077874407e-05,0.0014719633618369699,0.585945945945946
SqueezeNet,approxGT,3,12,5e-05,6.194859452079982e-05,0.0015130885876715183,0.5924324324324325
SqueezeNet,approxGT,3,13,5e-05,6.182897777762264e-05,0.0014030226739123464,0.5978378378378378
SqueezeNet,approxGT,3,14,5e-05,5.627833161270246e-05,0.0012444520834833384,0.6508108108108108
SqueezeNet,approxGT,3,15,5e-05,5.341529686120339e-05,0.0013487916439771652,0.6281081081081081
SqueezeNet,approxGT,3,16,5e-05,4.9947651859838516e-05,0.0013829799136146903,0.64
SqueezeNet,approxGT,3,17,5e-05,4.6111352276057005e-05,0.0014223760226741433,0.6064864864864865
SqueezeNet,approxGT,3,18,5e-05,4.5921413402538747e-05,0.00121805549133569,0.6562162162162162
SqueezeNet,approxGT,3,19,5e-05,4.222671122988686e-05,0.001489486312493682,0.6270270270270271
SqueezeNet,approxGT,3,20,5e-05,4.07970292144455e-05,0.0016092609148472548,0.6216216216216216
SqueezeNet,approxGT,4,1,5e-05,0.00030340917874127626,0.0017847074195742607,0.4161616161616162
SqueezeNet,approxGT,4,2,5e-05,0.0001745888584991917,0.001278345356695354,0.6343434343434343
SqueezeNet,approxGT,4,3,5e-05,0.00014259178715292364,0.0012413418153300881,0.6323232323232323
SqueezeNet,approxGT,4,4,5e-05,0.00012396123202051967,0.0011537845712155104,0.6545454545454545
SqueezeNet,approxGT,4,5,5e-05,0.00010834257409442216,0.001238540862686932,0.6353535353535353
SqueezeNet,approxGT,4,6,5e-05,9.97375973383896e-05,0.001063273986801505,0.6777777777777778
SqueezeNet,approxGT,4,7,5e-05,8.81359665072523e-05,0.0012715402990579605,0.6262626262626263
SqueezeNet,approxGT,4,8,5e-05,8.106974564725533e-05,0.0010167199652642012,0.7151515151515152
SqueezeNet,approxGT,4,9,5e-05,7.560743688372895e-05,0.0009867148473858833,0.7222222222222222
SqueezeNet,approxGT,4,10,5e-05,7.046898099360988e-05,0.0008711239788681269,0.7474747474747475
SqueezeNet,approxGT,4,11,5e-05,6.54195318929851e-05,0.000987663515843451,0.7191919191919192
SqueezeNet,approxGT,4,12,5e-05,6.32801529718563e-05,0.0009574961150065064,0.7141414141414142
SqueezeNet,approxGT,4,13,5e-05,5.7324788940604776e-05,0.0009782863780856133,0.7494949494949495
SqueezeNet,approxGT,4,14,5e-05,5.49662254343275e-05,0.0010481053031980991,0.7535353535353535
SqueezeNet,approxGT,4,15,5e-05,5.2517865697154775e-05,0.0010521290823817253,0.7212121212121212
SqueezeNet,approxGT,4,16,5e-05,5.01015420013573e-05,0.0010033197468146682,0.7626262626262627
SqueezeNet,approxGT,4,17,5e-05,4.687046384788118e-05,0.0009944308549165726,0.7505050505050505
SqueezeNet,approxGT,4,18,5e-05,4.472659566090442e-05,0.0008869485463947058,0.7545454545454545
SqueezeNet,approxGT,4,19,5e-05,4.156191789661534e-05,0.0011887847213074565,0.7212121212121212
SqueezeNet,approxGT,4,20,5e-05,4.188186358078383e-05,0.0011718084570020437,0.6888888888888889
SqueezeNet,approxGT,5,1,5e-05,0.0002953181101474911,0.00164975062943995,0.5229946524064171
SqueezeNet,approxGT,5,2,5e-05,0.0001746767375152558,0.0012436624383553863,0.6235294117647059
SqueezeNet,approxGT,5,3,5e-05,0.00014565011952072382,0.0011876528151333332,0.6171122994652406
SqueezeNet,approxGT,5,4,5e-05,0.0001238629629369825,0.0011594922980293632,0.6620320855614973
SqueezeNet,approxGT,5,5,5e-05,0.00011267933587078005,0.0009354313369840384,0.7080213903743315
SqueezeNet,approxGT,5,6,5e-05,0.00010238393588224426,0.0011733287246897817,0.679144385026738
SqueezeNet,approxGT,5,7,5e-05,9.256444172933698e-05,0.0009788558818399906,0.706951871657754
SqueezeNet,approxGT,5,8,5e-05,8.439746306976303e-05,0.00119829922914505,0.6909090909090909
SqueezeNet,approxGT,5,9,5e-05,8.010537567315623e-05,0.001012486987747252,0.6684491978609626
SqueezeNet,approxGT,5,10,5e-05,7.578434451716021e-05,0.0009052004315890372,0.7433155080213903
SqueezeNet,approxGT,5,11,5e-05,6.789201142964885e-05,0.0009738605003803968,0.7454545454545455
SqueezeNet,approxGT,5,12,5e-05,6.330013275146484e-05,0.0010380804305896163,0.7080213903743315
SqueezeNet,approxGT,5,13,5e-05,6.143783684819937e-05,0.000781766721047461,0.7893048128342246
SqueezeNet,approxGT,5,14,5e-05,5.564749881159514e-05,0.0008868684526532888,0.7828877005347593
SqueezeNet,approxGT,5,15,5e-05,5.5019703722791746e-05,0.0009931016247719526,0.7336898395721925
SqueezeNet,approxGT,5,16,5e-05,5.198546205065213e-05,0.0010206052102148533,0.7518716577540107
SqueezeNet,approxGT,5,17,5e-05,5.082002462586388e-05,0.0009655433241277933,0.7497326203208556
SqueezeNet,approxGT,5,18,5e-05,4.745883779833093e-05,0.0008213853579945862,0.8
SqueezeNet,approxGT,5,19,5e-05,4.6944034693297e-05,0.0008818178321234882,0.772192513368984
SqueezeNet,approxGT,5,20,5e-05,4.340663872426376e-05,0.0009824568405747414,0.7679144385026738
SqueezeNet,approxGT,6,1,5e-05,0.0002871142642106861,0.0018357057124376297,0.46780072904009723
SqueezeNet,approxGT,6,2,5e-05,0.00018313068721909076,0.0016014802968129516,0.5504252733900364
SqueezeNet,approxGT,6,3,5e-05,0.00015703424287494272,0.0014095638180151582,0.6087484811664642
SqueezeNet,approxGT,6,4,5e-05,0.0001377892476739362,0.001434531295672059,0.6306196840826246
SqueezeNet,approxGT,6,5,5e-05,0.00012032069935230538,0.0014058034867048264,0.6415552855407047
