Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
ResNet50,LinGC,1,1,5e-05,0.00015948248619679362,0.001023855060338974,0.7098623853211009
ResNet50,LinGC,1,2,5e-05,6.051624222891405e-05,0.0008205631165765226,0.768348623853211
ResNet50,LinGC,1,3,5e-05,3.73405018763151e-05,0.000941893202252686,0.7637614678899083
ResNet50,LinGC,1,4,5e-05,2.648154622875154e-05,0.0010275067761540413,0.7729357798165137
ResNet50,LinGC,1,5,5e-05,1.9805060219368897e-05,0.0009127281955443323,0.7889908256880734
ResNet50,LinGC,1,6,5e-05,1.664221053943038e-05,0.0012235244503244758,0.7901376146788991
ResNet50,LinGC,1,7,5e-05,1.398612221237272e-05,0.0011299330508336425,0.7373853211009175
ResNet50,LinGC,1,8,5e-05,1.0778054274851456e-05,0.0013056907337158918,0.7557339449541285
ResNet50,LinGC,1,9,5e-05,9.984765711124055e-06,0.0011795181781053543,0.7752293577981652
ResNet50,LinGC,1,10,5e-05,8.954142685979605e-06,0.000997793162241578,0.8096330275229358
ResNet50,LinGC,1,11,5e-05,8.216935384552926e-06,0.0014239459997043014,0.7557339449541285
ResNet50,LinGC,1,12,5e-05,7.808257578290068e-06,0.0010068825213238597,0.7889908256880734
ResNet50,LinGC,1,13,5e-05,7.662187272217125e-06,0.0010397032601758838,0.8061926605504587
ResNet50,LinGC,1,14,5e-05,6.730124368914403e-06,0.0014712820993736386,0.7637614678899083
ResNet50,LinGC,1,15,5e-05,6.337138529488584e-06,0.001321044866926968,0.7740825688073395
ResNet50,LinGC,1,16,5e-05,5.67401957596303e-06,0.0014283722266554832,0.7626146788990825
ResNet50,LinGC,1,17,5e-05,5.730093107558787e-06,0.001561617129482329,0.7350917431192661
ResNet50,LinGC,1,18,5e-05,6.003003818477737e-06,0.001414902159012854,0.7855504587155964
ResNet50,LinGC,1,19,5e-05,5.259344561636681e-06,0.0017007418209686875,0.7557339449541285
ResNet50,LinGC,1,20,5e-05,4.6430068323388696e-06,0.0014264562632888556,0.7786697247706422
ResNet50,LinGC,2,1,5e-05,0.0001671403442742303,0.0008609617361798882,0.7319819819819819
ResNet50,LinGC,2,2,5e-05,6.0857521020807326e-05,0.0007280146819539368,0.795045045045045
ResNet50,LinGC,2,3,5e-05,3.6466757592279464e-05,0.0006858906126581132,0.8141891891891891
ResNet50,LinGC,2,4,5e-05,2.6038424039143138e-05,0.0006324634305201471,0.8434684684684685
ResNet50,LinGC,2,5,5e-05,1.9913042706320994e-05,0.0006521967006847262,0.8513513513513513
ResNet50,LinGC,2,6,5e-05,1.6101817891467363e-05,0.000769818143453449,0.8153153153153153
ResNet50,LinGC,2,7,5e-05,1.4512442248815205e-05,0.0006750883185304701,0.847972972972973
ResNet50,LinGC,2,8,5e-05,1.1149978490720969e-05,0.0008773974841460586,0.7972972972972973
ResNet50,LinGC,2,9,5e-05,9.25557833397761e-06,0.0008248951635323465,0.831081081081081
ResNet50,LinGC,2,10,5e-05,9.849382877291646e-06,0.0009446505573578179,0.7871621621621622
ResNet50,LinGC,2,11,5e-05,7.841831575206015e-06,0.0012166043743491173,0.7454954954954955
ResNet50,LinGC,2,12,5e-05,6.5914341575989965e-06,0.0010892371647059917,0.7612612612612613
ResNet50,LinGC,2,13,5e-05,6.850170848338166e-06,0.0011189536890015006,0.7736486486486487
ResNet50,LinGC,2,14,5e-05,6.931243206054205e-06,0.0010164018021896482,0.7972972972972973
ResNet50,LinGC,2,15,5e-05,6.062558895791881e-06,0.0009771891636773944,0.7713963963963963
ResNet50,LinGC,2,16,5e-05,5.29947010363685e-06,0.0010340914595872164,0.7781531531531531
ResNet50,LinGC,2,17,5e-05,5.499226517713396e-06,0.0010286187753081322,0.7815315315315315
ResNet50,LinGC,2,18,5e-05,4.489854745770572e-06,0.0011237013386562467,0.7713963963963963
ResNet50,LinGC,2,19,5e-05,5.324337507772725e-06,0.0009837839752435684,0.8164414414414415
ResNet50,LinGC,2,20,5e-05,5.266022981231799e-06,0.0009876018157228827,0.8265765765765766
ResNet50,LinGC,3,1,5e-05,0.00016596843488514423,0.0009590843110345304,0.7124324324324325
ResNet50,LinGC,3,2,5e-05,6.0291626141406596e-05,0.0008370170253328979,0.7340540540540541
ResNet50,LinGC,3,3,5e-05,3.640862996689975e-05,0.0008553339284844697,0.7481081081081081
ResNet50,LinGC,3,4,5e-05,2.652047623996623e-05,0.0008859765948727727,0.7351351351351352
ResNet50,LinGC,3,5,5e-05,2.054237120319158e-05,0.0009338392410427332,0.7318918918918919
ResNet50,LinGC,3,6,5e-05,1.668902041274123e-05,0.0009391980129294097,0.7254054054054054
ResNet50,LinGC,3,7,5e-05,1.3681234122486785e-05,0.0009866084437817335,0.745945945945946
ResNet50,LinGC,3,8,5e-05,1.1772598554671276e-05,0.0009696052875369787,0.7427027027027027
ResNet50,LinGC,3,9,5e-05,1.0938491868728306e-05,0.0009261748637072742,0.7837837837837838
ResNet50,LinGC,3,10,5e-05,8.8243023128598e-06,0.00101473240647465,0.76
ResNet50,LinGC,3,11,5e-05,7.643571734661236e-06,0.0008588372147642076,0.7859459459459459
ResNet50,LinGC,3,12,5e-05,7.773423021717463e-06,0.0012063367757946253,0.7470270270270271
ResNet50,LinGC,3,13,5e-05,7.481018201360712e-06,0.0013489756966009736,0.705945945945946
ResNet50,LinGC,3,14,5e-05,6.722960279148538e-06,0.0010766963241621852,0.7470270270270271
ResNet50,LinGC,3,15,5e-05,7.417697361233877e-06,0.0009718354558572173,0.7718918918918919
ResNet50,LinGC,3,16,5e-05,5.689682438969612e-06,0.0011840828228741884,0.7535135135135135
ResNet50,LinGC,3,17,5e-05,5.763527497038012e-06,0.001000328571535647,0.7535135135135135
ResNet50,LinGC,3,18,5e-05,5.011136636312585e-06,0.0010930408025160432,0.7535135135135135
ResNet50,LinGC,3,19,5e-05,5.137601874594111e-06,0.000992247718386352,0.7762162162162162
ResNet50,LinGC,3,20,5e-05,4.865090431849239e-06,0.0011911098845303059,0.7448648648648649
ResNet50,LinGC,4,1,5e-05,0.00016330752987414598,0.0008018265943974257,0.7373737373737373
ResNet50,LinGC,4,2,5e-05,5.919298928347416e-05,0.0006519660237245262,0.798989898989899
ResNet50,LinGC,4,3,5e-05,3.577581446734257e-05,0.000664668099489063,0.8161616161616162
ResNet50,LinGC,4,4,5e-05,2.6968962629325688e-05,0.0006096261786296964,0.804040404040404
ResNet50,LinGC,4,5,5e-05,2.0244680854375474e-05,0.0006923385080881417,0.8101010101010101
ResNet50,LinGC,4,6,5e-05,1.5609677575412206e-05,0.0006519493763335049,0.8181818181818182
ResNet50,LinGC,4,7,5e-05,1.4169992027746048e-05,0.000680366123560816,0.8101010101010101
ResNet50,LinGC,4,8,5e-05,1.265076298295753e-05,0.0007734392420388758,0.7909090909090909
ResNet50,LinGC,4,9,5e-05,1.0889149962167721e-05,0.0006721907411701977,0.8181818181818182
ResNet50,LinGC,4,10,5e-05,9.569736903358717e-06,0.0006286145653575659,0.8353535353535354
ResNet50,LinGC,4,11,5e-05,9.401844181411434e-06,0.0008104182197712362,0.7838383838383839
ResNet50,LinGC,4,12,5e-05,7.438029115292011e-06,0.0007291433867067099,0.8252525252525252
ResNet50,LinGC,4,13,5e-05,7.820859536877833e-06,0.0009733983315527439,0.8
ResNet50,LinGC,4,14,5e-05,7.458042546204524e-06,0.0007716238615103066,0.8252525252525252
ResNet50,LinGC,4,15,5e-05,5.99505392528954e-06,0.0007586533902212977,0.8262626262626263
ResNet50,LinGC,4,16,5e-05,5.418929958977969e-06,0.0007622186094522476,0.8232323232323232
ResNet50,LinGC,4,17,5e-05,5.628777216770686e-06,0.0009632245055399835,0.8080808080808081
ResNet50,LinGC,4,18,5e-05,5.7336073950864375e-06,0.0007828798261471093,0.807070707070707
ResNet50,LinGC,4,19,5e-05,5.4106344578030985e-06,0.0007756316917948425,0.8191919191919191
ResNet50,LinGC,4,20,5e-05,4.361500032246113e-06,0.0008053897181525826,0.8121212121212121
ResNet50,LinGC,5,1,5e-05,0.00016102532390505075,0.0006364404107443988,0.7839572192513369
ResNet50,LinGC,5,2,5e-05,5.8634646848076954e-05,0.0005162888555787504,0.841711229946524
ResNet50,LinGC,5,3,5e-05,3.83981823688373e-05,0.0004550137382466346,0.8759358288770054
ResNet50,LinGC,5,4,5e-05,2.6297564545529895e-05,0.0005310375709086657,0.8524064171122995
ResNet50,LinGC,5,5,5e-05,2.043272615992464e-05,0.0003773290372919291,0.8866310160427807
ResNet50,LinGC,5,6,5e-05,1.7262475012103096e-05,0.00048616816638968885,0.8588235294117647
ResNet50,LinGC,5,7,5e-05,1.368731591355754e-05,0.0003935292479582131,0.8887700534759359
ResNet50,LinGC,5,8,5e-05,1.2200262972328346e-05,0.0004265308962203562,0.8823529411764706
ResNet50,LinGC,5,9,5e-05,9.675530236563645e-06,0.000518825079780072,0.8588235294117647
ResNet50,LinGC,5,10,5e-05,1.0260071576340124e-05,0.0005522724823094904,0.8449197860962567
ResNet50,LinGC,5,11,5e-05,8.347902621608227e-06,0.00041980715468525887,0.8705882352941177
ResNet50,LinGC,5,12,5e-05,8.573379091103561e-06,0.00045857499935664237,0.8748663101604278
ResNet50,LinGC,5,13,5e-05,8.589498065703083e-06,0.00044254667591303587,0.8620320855614974
ResNet50,LinGC,5,14,5e-05,6.695963747915812e-06,0.0004160570097155869,0.8748663101604278
ResNet50,LinGC,5,15,5e-05,6.073461463529384e-06,0.0004088004934601486,0.8887700534759359
ResNet50,LinGC,5,16,5e-05,5.278125627228292e-06,0.00032535663922317326,0.9101604278074866
ResNet50,LinGC,5,17,5e-05,7.239171736728167e-06,0.0004206649900879711,0.8727272727272727
ResNet50,LinGC,5,18,5e-05,5.85254019824788e-06,0.0006124817300587893,0.813903743315508
ResNet50,LinGC,5,19,5e-05,5.020036951464135e-06,0.0004315525002311915,0.8802139037433155
ResNet50,LinGC,5,20,5e-05,4.011842975160107e-06,0.000610463204793632,0.8481283422459893
ResNet50,LinGC,6,1,5e-05,0.0001593196502653882,0.0010877751046791673,0.6743620899149453
ResNet50,LinGC,6,2,5e-05,5.7212986575905234e-05,0.0007703944575041533,0.8153098420413123
ResNet50,LinGC,6,3,5e-05,3.482963438727893e-05,0.000845573958940804,0.787363304981774
ResNet50,LinGC,6,4,5e-05,2.509103433112614e-05,0.0007939081988297403,0.7885783718104495
ResNet50,LinGC,6,5,5e-05,1.924547177623026e-05,0.0009439196437597275,0.8092345078979344
ResNet50,LinGC,6,6,5e-05,1.5361025361926295e-05,0.0008431857568211854,0.81044957472661
ResNet50,LinGC,6,7,5e-05,1.233204693562584e-05,0.0008089671609923244,0.8262454434993924
ResNet50,LinGC,6,8,5e-05,1.1762749636545777e-05,0.0010229727486148477,0.8153098420413123
ResNet50,LinGC,6,9,5e-05,1.0087996088259388e-05,0.0011181659065186977,0.7922235722964763
ResNet50,LinGC,6,10,5e-05,8.871291356626898e-06,0.000991732464171946,0.8116646415552855
ResNet50,LinGC,6,11,5e-05,8.960169907368254e-06,0.0009510599775239825,0.8383961117861483
ResNet50,LinGC,6,12,5e-05,7.504625955334632e-06,0.0008482726407237351,0.8469015795868773
ResNet50,LinGC,6,13,5e-05,7.473679943359457e-06,0.0010955380275845528,0.8068043742405833
ResNet50,LinGC,6,14,5e-05,6.478333034465322e-06,0.001001100055873394,0.8226002430133658
ResNet50,LinGC,6,15,5e-05,6.33869103694451e-06,0.0010181911056861281,0.8140947752126367
ResNet50,LinGC,6,16,5e-05,5.890761258342536e-06,0.001043537980876863,0.8031591737545565
ResNet50,LinGC,6,17,5e-05,5.137648713571252e-06,0.00101425067987293,0.8262454434993924
ResNet50,LinGC,6,18,5e-05,6.3823167693044525e-06,0.0008629965013824403,0.8286755771567437
ResNet50,LinGC,6,19,5e-05,4.441492819751147e-06,0.0009248954011127353,0.8238153098420413
ResNet50,LinGC,6,20,5e-05,5.483468612510478e-06,0.0009191500139422715,0.8298906439854192
ResNet50,LinGC,7,1,5e-05,0.00016117247287184,0.0008791376603767276,0.7816229116945107
ResNet50,LinGC,7,2,5e-05,5.9039462939836085e-05,0.0008489000611007214,0.7589498806682577
ResNet50,LinGC,7,3,5e-05,3.60619742423296e-05,0.0007625449215993285,0.8090692124105012
ResNet50,LinGC,7,4,5e-05,2.5435629140702076e-05,0.0007675281958654523,0.8102625298329356
ResNet50,LinGC,7,5,5e-05,2.0576098904712126e-05,0.000732380198314786,0.8162291169451074
ResNet50,LinGC,7,6,5e-05,1.6746960682212375e-05,0.0007250410853885114,0.8329355608591885
ResNet50,LinGC,7,7,5e-05,1.431857072020648e-05,0.0007106405100785196,0.8281622911694511
