Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
ResNet50,approxGT,1,precision,0.7209302325581395,0.7222222222222222,0.803921568627451,0.7739130434782608,0.6455696202531646,0.75,0.8947368421052632,0.8679245283018868,0.6,0.8787878787878788,0.7658005936334267,0.7643475260459843
ResNet50,approxGT,1,recall,0.62,0.7222222222222222,0.82,0.89,0.51,0.59375,0.9714285714285714,0.773109243697479,0.9418604651162791,0.87,0.7712370502464552,0.7580275229357798
ResNet50,approxGT,1,f1-score,0.6666666666666666,0.7222222222222222,0.8118811881188118,0.8279069767441859,0.5698324022346368,0.6627906976744186,0.9315068493150684,0.8177777777777778,0.7330316742081449,0.8743718592964824,0.7617988314258415,0.7541890315898004
ResNet50,approxGT,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
ResNet50,approxGT,2,precision,0.7954545454545454,0.4888888888888889,0.7982456140350878,0.8584905660377359,0.7117117117117117,0.6220472440944882,0.9393939393939394,0.8089887640449438,0.8690476190476191,0.8571428571428571,0.7749411749851818,0.7814001802685702
ResNet50,approxGT,2,recall,0.7,0.5238095238095238,0.91,0.91,0.79,0.79,0.8857142857142857,0.6,0.8021978021978022,0.78,0.7691721611721613,0.7725225225225225
ResNet50,approxGT,2,f1-score,0.7446808510638298,0.5057471264367817,0.8504672897196263,0.883495145631068,0.7488151658767773,0.6960352422907489,0.9117647058823529,0.6889952153110048,0.8342857142857143,0.8167539267015708,0.7681040383199476,0.7722717702498985
ResNet50,approxGT,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
ResNet50,approxGT,3,precision,0.6101694915254238,0.9705882352941176,0.744,0.8431372549019608,0.6403508771929824,0.43283582089552236,0.9459459459459459,0.6507936507936508,0.8512396694214877,0.7808219178082192,0.746988286377931,0.7171281015208387
ResNet50,approxGT,3,recall,0.36,0.7674418604651163,0.93,0.86,0.73,0.5420560747663551,0.9722222222222222,0.6833333333333333,0.865546218487395,0.57,0.7280599709274422,0.7091891891891892
ResNet50,approxGT,3,f1-score,0.4528301886792453,0.8571428571428571,0.8266666666666667,0.8514851485148515,0.6822429906542056,0.4813278008298755,0.9589041095890412,0.6666666666666666,0.8583333333333334,0.6589595375722543,0.7294559299648997,0.705124200396253
ResNet50,approxGT,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
ResNet50,approxGT,4,precision,0.8068181818181818,0.6818181818181818,0.6764705882352942,0.7435897435897436,0.8217821782178217,0.8090909090909091,0.8888888888888888,0.6106870229007634,0.88,0.8372093023255814,0.7756354996885365,0.7762901211560926
ResNet50,approxGT,4,recall,0.71,0.5084745762711864,0.69,0.87,0.83,0.8317757009345794,0.8421052631578947,0.6666666666666666,0.927710843373494,0.72,0.759673305040382,0.7747474747474747
