Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
SqueezeNet,Cochleagram,1,precision,0.65,0.6521739130434783,0.7766990291262136,0.8148148148148148,0.6095238095238096,0.9076923076923077,0.918918918918919,0.509090909090909,0.927536231884058,0.7017543859649122,0.7468204320059423,0.732119292014921
SqueezeNet,Cochleagram,1,recall,0.39,0.8333333333333334,0.8,0.88,0.64,0.6145833333333334,0.9714285714285714,0.7058823529411765,0.7441860465116279,0.8,0.7379413637548041,0.713302752293578
SqueezeNet,Cochleagram,1,f1-score,0.4875,0.7317073170731708,0.788177339901478,0.8461538461538461,0.624390243902439,0.7329192546583851,0.9444444444444445,0.5915492957746479,0.8258064516129032,0.7476635514018691,0.7320311744923184,0.7116507873729938
SqueezeNet,Cochleagram,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
SqueezeNet,Cochleagram,2,precision,0.4918032786885246,0.2765957446808511,0.6618705035971223,0.7592592592592593,0.6836734693877551,0.4264705882352941,0.7555555555555555,0.7884615384615384,0.5254237288135594,0.8452380952380952,0.6214351761917556,0.6388760462827294
SqueezeNet,Cochleagram,2,recall,0.3,0.30952380952380953,0.92,0.82,0.67,0.58,0.9714285714285714,0.3416666666666667,0.6813186813186813,0.71,0.630393772893773,0.6193693693693694
SqueezeNet,Cochleagram,2,f1-score,0.3726708074534162,0.29213483146067415,0.7698744769874477,0.7884615384615384,0.6767676767676768,0.4915254237288135,0.85,0.4767441860465116,0.5933014354066986,0.7717391304347825,0.6083219506747559,0.6084721860949399
SqueezeNet,Cochleagram,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
SqueezeNet,Cochleagram,3,precision,0.44666666666666666,0.6666666666666666,0.7662337662337663,0.8421052631578947,0.5234899328859061,0.6590909090909091,0.8780487804878049,0.6333333333333333,0.8691588785046729,0.5882352941176471,0.6873029491145267,0.6777320528488638
SqueezeNet,Cochleagram,3,recall,0.67,0.5581395348837209,0.59,0.8,0.78,0.27102803738317754,1.0,0.475,0.7815126050420168,0.8,0.6725680177308915,0.6518918918918919
SqueezeNet,Cochleagram,3,f1-score,0.536,0.6075949367088608,0.6666666666666666,0.8205128205128205,0.6265060240963854,0.3841059602649006,0.9350649350649352,0.5428571428571427,0.8230088495575221,0.6779661016949153,0.6620283437424149,0.6451181937583179
SqueezeNet,Cochleagram,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
