Model,Data Representation,Test Fold,metric,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music,macro avg,weighted avg
SqueezeNet,LogGC,1,precision,0.5365853658536586,0.358974358974359,0.625,0.9264705882352942,0.8169014084507042,0.6413043478260869,0.6923076923076923,0.6506024096385542,0.6371681415929203,0.5655737704918032,0.6450888083371074,0.6628329401058206
SqueezeNet,LogGC,1,recall,0.44,0.3888888888888889,0.5,0.63,0.58,0.6145833333333334,0.7714285714285715,0.907563025210084,0.8372093023255814,0.69,0.6359673121186459,0.6467889908256881
SqueezeNet,LogGC,1,f1-score,0.4835164835164836,0.3733333333333333,0.5555555555555556,0.75,0.6783625730994152,0.6276595744680851,0.7297297297297296,0.7578947368421053,0.7236180904522613,0.6216216216216215,0.630129169861859,0.6428464593255611
SqueezeNet,LogGC,1,support,100.0,36.0,100.0,100.0,100.0,96.0,35.0,119.0,86.0,100.0,872.0,872.0
SqueezeNet,LogGC,2,precision,0.31666666666666665,0.2571428571428571,0.5517241379310345,0.6972477064220184,0.6904761904761905,0.33858267716535434,0.5581395348837209,0.7966101694915254,0.6068376068376068,0.6697247706422018,0.5483152317659177,0.5716132220861285
SqueezeNet,LogGC,2,recall,0.19,0.21428571428571427,0.8,0.76,0.58,0.43,0.6857142857142857,0.39166666666666666,0.7802197802197802,0.73,0.5561886446886447,0.5630630630630631
SqueezeNet,LogGC,2,f1-score,0.23750000000000004,0.23376623376623376,0.6530612244897959,0.7272727272727273,0.6304347826086957,0.3788546255506608,0.6153846153846154,0.5251396648044692,0.6826923076923076,0.6985645933014354,0.5382670774870941,0.5507513496120622
SqueezeNet,LogGC,2,support,100.0,42.0,100.0,100.0,100.0,100.0,35.0,120.0,91.0,100.0,888.0,888.0
SqueezeNet,LogGC,3,precision,0.31,0.4166666666666667,0.5916666666666667,0.7227722772277227,0.49295774647887325,0.2809917355371901,0.6862745098039216,0.37662337662337664,0.9647058823529412,0.6375,0.5480158861357359,0.5493763664369932
SqueezeNet,LogGC,3,recall,0.31,0.46511627906976744,0.71,0.73,0.7,0.3177570093457944,0.9722222222222222,0.24166666666666667,0.6890756302521008,0.51,0.5645837807556552,0.5362162162162162
SqueezeNet,LogGC,3,f1-score,0.31,0.43956043956043955,0.6454545454545454,0.7263681592039801,0.5785123966942148,0.2982456140350877,0.8045977011494253,0.29441624365482233,0.803921568627451,0.5666666666666667,0.5467743335046633,0.5334872319474796
SqueezeNet,LogGC,3,support,100.0,43.0,100.0,100.0,100.0,107.0,36.0,120.0,119.0,100.0,925.0,925.0
SqueezeNet,LogGC,4,precision,0.3804347826086957,0.325,0.6198347107438017,0.7037037037037037,0.8372093023255814,0.5958904109589042,0.6904761904761905,0.46078431372549017,0.7543859649122807,0.7073170731707317,0.607503645262538,0.6207530447358048
SqueezeNet,LogGC,4,recall,0.35,0.22033898305084745,0.75,0.76,0.72,0.8130841121495327,0.7631578947368421,0.39166666666666666,0.7771084337349398,0.58,0.6125356090338828,0.6272727272727273
SqueezeNet,LogGC,4,f1-score,0.36458333333333337,0.2626262626262626,0.6787330316742083,0.7307692307692308,0.7741935483870969,0.6877470355731226,0.725,0.42342342342342343,0.7655786350148368,0.6373626373626374,0.6050017138164152,0.6192878027042403
SqueezeNet,LogGC,4,support,100.0,59.0,100.0,100.0,100.0,107.0,38.0,120.0,166.0,100.0,990.0,990.0
SqueezeNet,LogGC,5,precision,0.5416666666666666,0.6582278481012658,0.6388888888888888,0.7872340425531915,0.8589743589743589,0.5255474452554745,0.7954545454545454,0.7207792207792207,0.6593406593406593,0.7352941176470589,0.692140779366133,0.6857878224547348
SqueezeNet,LogGC,5,recall,0.26,0.5306122448979592,0.69,0.74,0.6767676767676768,0.6728971962616822,0.875,0.925,0.8450704225352113,0.75,0.696534754046253,0.6855614973262032
SqueezeNet,LogGC,5,f1-score,0.35135135135135137,0.5875706214689265,0.6634615384615383,0.7628865979381443,0.7570621468926554,0.5901639344262296,0.8333333333333334,0.8102189781021898,0.7407407407407407,0.7425742574257426,0.6839363500140851,0.6747146441131556
SqueezeNet,LogGC,5,support,100.0,98.0,100.0,100.0,99.0,107.0,40.0,120.0,71.0,100.0,935.0,935.0
SqueezeNet,LogGC,6,precision,0.171875,0.4358974358974359,0.6111111111111112,0.7888888888888889,0.8070175438596491,0.36,0.8823529411764706,0.631578947368421,0.5353535353535354,0.6814159292035398,0.5905491332859052,0.5831199767226961
SqueezeNet,LogGC,6,recall,0.11,0.6071428571428571,0.55,0.71,0.92,0.4205607476635514,0.9782608695652174,0.35294117647058826,0.7162162162162162,0.77,0.6135121867058431,0.5953827460510328
SqueezeNet,LogGC,6,f1-score,0.13414634146341464,0.5074626865671643,0.5789473684210527,0.7473684210526317,0.8598130841121495,0.38793103448275856,0.9278350515463919,0.45283018867924524,0.6127167630057803,0.7230046948356806,0.593205563416627,0.5818462607117608
SqueezeNet,LogGC,6,support,100.0,28.0,100.0,100.0,100.0,107.0,46.0,68.0,74.0,100.0,823.0,823.0
SqueezeNet,LogGC,7,precision,0.49038461538461536,0.5555555555555556,0.5714285714285714,0.8735632183908046,0.7528089887640449,0.5409836065573771,0.8421052631578947,0.5135135135135135,0.5555555555555556,0.7,0.6395898888307933,0.6401796306363945
SqueezeNet,LogGC,7,recall,0.51,0.5357142857142857,0.4,0.76,0.67,0.6226415094339622,0.9411764705882353,0.5,0.7792207792207793,0.7,0.6418753044957263,0.6336515513126492
SqueezeNet,LogGC,7,f1-score,0.5,0.5454545454545454,0.47058823529411764,0.8128342245989306,0.708994708994709,0.5789473684210527,0.8888888888888888,0.5066666666666666,0.6486486486486487,0.7,0.636102328696756,0.632063020477423
SqueezeNet,LogGC,7,support,100.0,28.0,100.0,100.0,100.0,106.0,51.0,76.0,77.0,100.0,838.0,838.0
SqueezeNet,LogGC,8,precision,0.4146341463414634,0.4857142857142857,0.48148148148148145,0.7684210526315789,0.6236559139784946,0.6703296703296703,0.9130434782608695,0.4755244755244755,0.5714285714285714,0.5202702702702703,0.5924503345961161,0.5772626468253054
SqueezeNet,LogGC,8,recall,0.34,0.5666666666666667,0.27956989247311825,0.73,0.58,0.6931818181818182,0.7,0.8717948717948718,0.25,0.77,0.5781213249116475,0.5694618272841051
SqueezeNet,LogGC,8,f1-score,0.3736263736263737,0.523076923076923,0.35374149659863946,0.7487179487179486,0.6010362694300518,0.6815642458100558,0.7924528301886793,0.6153846153846154,0.34782608695652173,0.620967741935484,0.5658394531725293,0.5539454640055496
SqueezeNet,LogGC,8,support,100.0,30.0,93.0,100.0,100.0,88.0,30.0,78.0,80.0,100.0,799.0,799.0
SqueezeNet,LogGC,9,precision,0.5686274509803921,0.6538461538461539,0.8354430379746836,0.616,0.7027027027027027,0.8636363636363636,1.0,0.5925925925925926,0.8080808080808081,0.7289719626168224,0.7369901072430519,0.7215887837860198
SqueezeNet,LogGC,9,recall,0.29,0.53125,0.66,0.77,0.78,0.8539325842696629,0.7096774193548387,0.7804878048780488,0.975609756097561,0.78,0.7130957564600112,0.7193627450980392
SqueezeNet,LogGC,9,f1-score,0.3841059602649006,0.5862068965517242,0.7374301675977653,0.6844444444444444,0.7393364928909952,0.8587570621468926,0.8301886792452831,0.6736842105263158,0.8839779005524863,0.7536231884057971,0.7131755002626605,0.7090026553262064
SqueezeNet,LogGC,9,support,100.0,32.0,100.0,100.0,100.0,89.0,31.0,82.0,82.0,100.0,816.0,816.0
SqueezeNet,LogGC,10,precision,0.6,0.6666666666666666,0.5,0.801980198019802,0.8555555555555555,0.7532467532467533,0.8846153846153846,0.8392857142857143,0.7457627118644068,0.719626168224299,0.7366739152478583,0.7294451209029633
SqueezeNet,LogGC,10,recall,0.54,0.5454545454545454,0.74,0.81,0.77,0.6236559139784946,0.71875,0.9791666666666666,0.5301204819277109,0.77,0.7027147608027418,0.7168458781362007
