Model,Data Representation,Test Fold,Epoch,Learning Rate,Training Loss,Validation Loss,Validation Accuracy
SqueezeNet,LogGC,1,1,5e-05,0.00038624260923825204,0.0017812501173466444,0.46788990825688076
SqueezeNet,LogGC,1,2,5e-05,0.0002060993283521384,0.0015076983254402876,0.5561926605504587
SqueezeNet,LogGC,1,3,5e-05,0.00018136872677132487,0.0014609163627028465,0.5963302752293578
SqueezeNet,LogGC,1,4,5e-05,0.0001636480155866593,0.001320184557698667,0.6467889908256881
SqueezeNet,LogGC,1,5,5e-05,0.0001519820943940431,0.001708489959128201,0.5837155963302753
SqueezeNet,LogGC,1,6,5e-05,0.00014076665684115142,0.0014605384785681963,0.6708715596330275
SqueezeNet,LogGC,1,7,5e-05,0.00013077350740786642,0.0014397276099771261,0.6089449541284404
SqueezeNet,LogGC,1,8,5e-05,0.00012318123481236398,0.0016035983571782708,0.6295871559633027
SqueezeNet,LogGC,1,9,5e-05,0.00011415789776947349,0.0013641949044540524,0.6639908256880734
SqueezeNet,LogGC,1,10,5e-05,0.0001084700197679922,0.0014701483305543661,0.6490825688073395
SqueezeNet,LogGC,1,11,5e-05,0.00010263040894642472,0.0016351465601474047,0.6697247706422018
SqueezeNet,LogGC,1,12,5e-05,9.757078805705532e-05,0.001670059864409268,0.6685779816513762
SqueezeNet,LogGC,1,13,5e-05,9.13529220269993e-05,0.0016188545851036906,0.6754587155963303
SqueezeNet,LogGC,1,14,5e-05,8.74646648298949e-05,0.001613463507965207,0.6639908256880734
SqueezeNet,LogGC,1,15,5e-05,8.241727482527494e-05,0.0017652719980105758,0.6605504587155964
SqueezeNet,LogGC,1,16,5e-05,7.9315563198179e-05,0.0022274749353528023,0.625
SqueezeNet,LogGC,1,17,5e-05,7.442990317940712e-05,0.0017266394570469856,0.6559633027522935
SqueezeNet,LogGC,1,18,5e-05,6.982902414165437e-05,0.0021784016862511635,0.6594036697247706
SqueezeNet,LogGC,1,19,5e-05,6.87441643094644e-05,0.00245741568505764,0.6376146788990825
SqueezeNet,LogGC,1,20,5e-05,6.857304833829403e-05,0.0019295348320156336,0.6456422018348624
SqueezeNet,LogGC,2,1,5e-05,0.00035822505014948547,0.0018867186736315489,0.45382882882882886
SqueezeNet,LogGC,2,2,5e-05,0.00019886440713889897,0.0016633245395496488,0.5180180180180181
SqueezeNet,LogGC,2,3,5e-05,0.000175133187440224,0.0016282679280266166,0.5540540540540541
SqueezeNet,LogGC,2,4,5e-05,0.0001623012503841892,0.0016305178869515657,0.4988738738738739
SqueezeNet,LogGC,2,5,5e-05,0.00014680241292808205,0.0016724979504942894,0.5202702702702703
SqueezeNet,LogGC,2,6,5e-05,0.00013726198812946677,0.0015066207852214575,0.579954954954955
SqueezeNet,LogGC,2,7,5e-05,0.00012852218060288578,0.0014884560368955135,0.5630630630630631
SqueezeNet,LogGC,2,8,5e-05,0.0001170373652712442,0.0015435926616191864,0.5923423423423423
SqueezeNet,LogGC,2,9,5e-05,0.00010918991756625473,0.001777366385795176,0.5202702702702703
SqueezeNet,LogGC,2,10,5e-05,0.00010427672532387078,0.0015893271192908287,0.5945945945945946
